 	Area	Mean	Min	Max	Angle	Length
1	3.992	155.250	78.248	228.724	-165.661	48.785
2	3.645	152.260	81.288	239.913	-80.314	44.609
3	4.285	154.964	78.447	224.850	13.993	52.374
4	3.125	155.073	81.929	244.920	-81.524	38.190
5	2.392	173.040	76.561	196.562	-81.667	29.262
6	3.239	184.401	76.989	204.893	-80.013	39.565
7	1.199	185.082	159	193.503	144.350	14.589
8	0.327	158.670	151.284	170.370	-44.170	3.926
9	0.433	183.793	79.750	201.444	-155.037	5.261
10	4.038	166.047	76.120	226.497	63.393	49.406
11	3.572	157.423	79.984	230.499	-25.896	43.666
12	4.371	164.360	78.631	225.066	63.357	53.495
13	3.172	158.318	82.101	234.097	-25.002	38.808
14	2.512	158.220	79.620	174.319	-27.247	30.717
15	3.292	180.618	77.835	213.214	-27.240	40.258
16	1.253	167.431	135.889	209.667	106.113	15.295
17	0.287	154.197	142.556	162.667	-62.241	3.457
18	0.406	186.970	79.844	217.442	55.244	4.860
19	4.078	157.634	83.162	228.834	-25.935	49.848
20	3.618	159.824	77.433	247.358	65.232	44.221
21	4.378	157.718	76.968	232.698	-25.783	53.549
22	3.239	154.964	80.641	221.499	64.069	39.576
23	2.439	165.725	82.631	177.018	63.154	29.790
24	3.152	165.190	81.621	189.152	63.326	38.503
25	1.313	193.002	156.062	220.543	11.482	15.988
26	0.353	190.921	181.179	198.444	-173.418	4.267
27	0.373	173.034	82.948	193.652	-10.305	4.527
28	4.125	150.174	82.014	226.417	-144.408	50.472
29	3.625	154.546	80.842	214.131	-54.732	44.361
30	4.458	153.101	80.533	232.914	-145.050	54.562
31	3.332	154.312	82.439	211.338	-53.451	40.773
32	2.326	169.976	79.336	200.205	-54.021	28.368
33	3.165	169.705	80.688	219.249	-53.759	38.707
34	1.259	192.820	168.778	211.306	-104.775	15.313
35	0.320	174.772	171.344	179.132	90	3.810
36	0.413	185.920	83.296	211.102	-138.991	5.017
37	4.158	157.368	79.868	210.745	10.173	50.876
38	3.678	159.242	81.615	215.539	-82.798	44.983
39	4.538	155.399	78.390	209.076	10.335	55.549
40	3.192	151.585	80.540	234	-85.077	39.003
41	2.592	165.425	80.097	182.023	-80.077	31.709
42	3.352	170.260	76.773	218.483	-80.369	40.959
43	1.353	182.362	146.963	208.802	-149.133	16.501
44	0.400	158.529	146.793	169.399	38.047	4.811
45	0.367	164.107	82.254	180.889	-173.541	4.388
46	3.918	153.188	79.982	233.482	-9.816	47.938
47	3.539	149.620	79.326	223.587	-101.967	43.271
48	4.371	151.791	80.345	230.652	-9.218	53.485
49	3.165	148.555	81.069	224.425	-100.316	38.727
50	2.452	166.866	78.135	183.274	-99.232	29.990
51	3.319	163.176	80.999	194.442	-99.027	40.549
52	1.333	185.429	125.630	198.676	152.403	16.212
53	0.420	179.806	172.056	191.222	-35.754	5.074
54	0.480	179.598	82.771	201.693	-172.674	5.819
55	4.318	156.554	77.556	233.044	1.417	52.805
56	3.585	157.250	76.960	219.722	-87.436	43.799
57	4.665	155.233	75.492	233.243	0.984	57.042
58	3.199	147.934	81.665	195.242	-86.655	39.142
59	2.432	165.233	79.600	182.670	-87.797	29.734
60	3.312	168.292	70.832	227.681	-89.076	40.495
61	1.413	180.448	160.335	196.970	40.188	17.225
62	0.340	180.781	174.040	187.453	-139.028	4.086
63	0.400	183.592	78.371	215.333	25.253	4.820
64	4.018	154.152	84.651	216.072	-50.865	49.127
65	3.652	151.666	82.889	203.174	38.545	44.689
66	4.325	153.274	0	222.383	-51.009	52.934
67	3.179	157.069	82.510	231.420	39.636	38.881
68	2.472	155.709	82.667	178.164	40.719	30.176
69	3.312	150.777	81.065	180.889	39.021	40.474
70	1.399	180.436	162.830	204.111	89.182	17.090
71	0.347	182.813	175.667	191.084	-95.711	4.159
72	0.413	142.842	81.134	170.134	142.374	4.964
73	3.978	153.673	83.331	225.240	-111.051	48.614
74	3.598	159.332	83.757	237.552	-21.624	44.021
75	4.332	154.537	80.259	230.092	-110.111	52.968
76	3.265	160.070	82.201	241.412	-22.367	39.921
77	2.339	157.394	77.702	198.467	-18.487	28.568
78	3.092	157.004	78.474	205.166	-18.122	37.793
79	1.299	182.444	159.151	205.313	-144.428	15.829
80	0.380	193.200	179.333	205.857	28.856	4.578
81	0.340	180.351	86.481	213.658	-102.407	4.120
82	3.712	146.769	82.555	211.684	-17.717	45.368
83	3.572	144.291	79.335	205.397	-108.401	43.712
84	4.145	147.787	80.293	221.400	-16.770	50.688
85	3.152	148.509	80.667	200.746	-108.013	38.551
86	2.392	154.444	78.891	188.997	-103.570	29.224
87	3.165	165.477	82.513	205.906	74.204	38.693
88	1.326	134.454	114.733	165.164	-176.514	16.139
89	0.307	154.538	137.111	164.782	19.231	3.683
90	0.420	170.664	77.990	189.136	146.821	5.042
