 	Area	Mean	Min	Max	Angle	Length
1	7.917	196.418	78.667	240.969	-172.157	96.907
2	6.344	186.861	78.244	254.249	-81.290	77.630
3	6.944	186.825	77.219	245.638	-171.045	84.954
4	6.604	186.685	81.333	248.616	-82.918	80.780
5	1.933	200.710	76.025	230.000	-82.038	23.574
6	1.699	205.473	68.333	237.277	-83.211	20.717
7	3.852	204.342	77.930	224.531	-172.629	47.083
8	1.459	195.268	189.434	207.667	0.526	17.797
9	17.040	201.728	0.000	249.333	0.000	208.653
10	8.210	198.426	82.000	255.000	-126.674	100.458
11	5.918	197.000	82.312	251.038	-37.025	72.392
12	6.624	188.371	81.542	254.080	-127.389	81.065
13	6.264	186.643	78.615	254.313	-38.774	76.646
14	1.973	228.806	94.333	253.601	-34.658	24.116
15	2.039	228.437	81.778	254.667	-36.193	24.883
16	4.158	200.407	165.009	239.783	54.013	50.847
17	1.873	197.882	180.731	222.073	-123.179	22.823
18	17.060	225.232	176.000	253.000	0.000	208.980
19	6.604	139.651	75.680	209.833	72.004	80.853
20	6.317	143.851	89.314	202.556	-15.621	77.304
21	6.537	135.950	81.105	202.847	72.730	80.016
22	6.771	145.985	80.093	235.708	-18.970	82.868
23	1.313	179.215	77.333	206.727	-18.712	16.031
24	1.426	170.854	79.333	213.361	-13.841	17.403
25	3.432	206.765	158.462	237.043	-140.452	41.923
26	1.553	212.471	182.874	229.142	48.674	18.914
27	17.060	226.274	159.000	255.000	0.000	208.980
28	7.817	113.062	72.560	177.486	3.229	95.662
29	6.164	112.073	68.667	174.667	-90.000	75.429
30	6.870	110.554	59.519	183.870	2.004	84.051
31	6.364	109.150	61.597	181.723	-89.099	77.887
32	2.192	124.118	76.552	162.162	-86.326	26.749
33	2.086	133.874	71.000	161.000	-90.000	25.469
34	3.492	118.352	87.855	139.257	41.743	42.669
35	1.819	92.217	71.355	115.995	-138.576	22.209
36	17.066	123.743	0.000	153.503	0.269	208.982
37	8.290	110.052	70.418	160.580	178.201	101.438
38	5.878	108.842	66.395	184.116	-93.515	71.890
39	7.130	107.669	67.641	164.751	-2.895	87.295
40	6.344	110.230	70.707	164.082	-94.343	77.611
41	1.626	125.973	82.667	141.333	-93.532	19.874
42	2.026	124.778	78.076	141.990	-91.701	24.746
43	4.325	117.451	86.521	159.836	14.744	52.926
44	1.853	109.390	86.566	140.071	-166.866	22.633
45	17.060	128.457	77.667	161.667	0.000	208.980
46	7.010	115.542	73.767	179.841	25.907	85.761
47	5.111	123.838	75.710	197.735	-64.739	62.553
48	5.604	112.221	73.081	178.977	26.290	68.561
49	5.318	117.122	72.508	228.882	117.337	65.062
50	0.900	132.616	80.531	167.109	109.654	10.922
51	1.233	126.699	65.562	156.072	-68.025	15.053
52	3.479	125.899	98.413	165.065	-131.031	42.528
53	1.226	132.777	103.586	177.861	50.315	14.957
54	17.060	127.093	71.000	169.667	0.000	208.980
55	7.257	116.538	78.174	192.161	75.964	88.857
56	5.304	119.017	62.951	176.835	-18.025	64.899
57	6.037	114.797	75.715	169.823	77.162	73.846
58	5.631	125.020	74.324	183.211	-15.666	68.928
59	1.206	124.336	72.517	157.722	-10.561	14.698
60	1.306	134.167	81.000	151.742	-10.620	15.947
61	3.838	121.813	86.455	171.500	80.685	46.904
62	1.339	110.919	79.968	145.520	-97.765	16.313
63	17.046	128.918	0.000	136.000	0.000	208.735
64	7.037	112.128	71.418	175.875	-35.045	86.150
65	5.238	113.717	72.893	163.061	55.379	64.082
66	6.151	110.943	75.000	174.680	145.069	75.276
67	5.744	117.480	67.255	187.017	54.354	70.318
68	0.946	126.042	81.295	160.345	56.535	11.547
69	1.493	119.565	67.075	138.622	50.458	18.208
70	3.099	119.357	76.997	158.802	-34.203	37.902
71	1.299	99.472	77.321	136.392	148.276	15.835
72	17.046	125.064	0.000	160.667	0.000	208.735
