 	Area	Mean	Min	Max	Angle	Length
1	5.924	139.623	78.316	198.715	-100.513	72.482
2	3.812	148.539	78.234	220.136	-6.938	46.627
3	6.044	140.088	76.214	201.108	-100.305	73.927
4	4.232	144.397	74.354	217.229	-10.353	51.782
5	3.292	160.556	79.175	182.387	-9.806	40.262
6	4.545	148.285	121.000	179.687	-9.130	55.561
7	2.539	159.315	142.152	172.046	-58.570	30.997
8	0.553	172.774	159.333	181.344	123.111	6.725
9	0.453	142.799	85.667	177.333	-100.305	5.476
10	5.218	187.003	83.653	254.667	111.216	63.837
11	3.339	190.243	74.008	252.993	20.610	40.816
12	5.731	187.484	82.000	253.950	111.727	70.125
13	3.832	187.764	77.000	251.875	21.468	46.841
14	3.152	213.128	81.785	243.501	23.199	38.545
15	4.012	213.689	80.254	245.520	24.602	49.021
16	2.466	216.091	191.228	227.515	141.389	30.087
17	0.573	209.842	200.581	219.330	-46.909	6.931
18	0.540	225.655	204.813	237.500	102.995	6.535
19	6.124	141.622	71.079	218.810	89.750	74.939
20	3.872	124.373	81.306	183.552	-0.593	47.349
21	6.484	141.823	75.667	215.975	89.528	79.350
22	4.298	127.835	78.333	194.333	0.000	52.571
23	3.592	140.062	71.853	216.418	1.278	43.929
24	4.698	169.024	73.250	221.212	0.977	57.478
25	2.639	162.846	137.540	194.340	138.077	32.256
26	0.626	142.678	134.668	151.625	-45.000	7.619
27	0.446	165.191	82.333	188.727	93.468	5.398
28	5.471	134.148	73.174	183.829	0.419	66.941
29	3.965	135.438	75.070	207.420	-91.543	48.507
30	6.097	133.242	67.333	176.667	0.000	74.612
31	4.298	131.566	76.687	187.474	-89.288	52.575
32	3.485	127.020	77.686	155.858	-88.244	42.632
33	4.565	135.482	77.719	165.468	90.670	55.841
34	2.506	157.649	121.649	173.668	-134.784	30.593
35	0.586	157.224	148.000	165.760	40.314	7.066
36	0.446	138.114	68.242	157.586	-178.264	5.390
37	5.591	133.642	79.314	177.020	63.496	68.415
38	3.312	138.780	81.561	196.418	-22.531	40.477
39	6.324	132.975	79.412	177.517	63.435	77.395
40	3.998	139.419	72.981	178.942	-21.340	48.904
41	3.259	149.416	83.815	179.336	-25.726	39.870
42	4.425	149.973	115.822	175.998	-25.946	54.107
43	2.479	157.755	146.170	192.951	21.171	30.289
44	0.606	150.481	146.641	162.333	-156.297	7.311
45	0.400	155.941	76.858	171.476	61.699	4.821
