 	Area	Mean	Min	Max	Angle	Length
1	9.769	147.254	78.142	214.658	-38.513	119.559
2	7.670	152.343	78.667	216.244	52.951	93.894
3	10.149	145.867	75.000	216.001	-38.519	124.264
4	7.943	153.899	79.722	220.455	-128.660	97.223
5	4.838	157.345	81.759	193.279	52.561	59.219
6	6.037	155.824	99.796	184.986	51.192	73.855
7	3.945	156.718	99.217	192.374	149.136	48.216
8	0.726	154.725	138.168	162.444	-22.989	8.779
9	0.360	159.668	148.057	175.049	-42.709	4.333
10	10.949	124.033	72.917	162.930	-3.772	134.005
11	8.610	124.559	73.650	159.557	-92.663	105.420
12	11.189	122.746	70.862	168.253	176.104	136.970
13	9.429	117.165	72.552	158.504	88.419	115.391
14	4.471	126.695	71.168	168.204	-93.336	54.705
15	6.124	120.606	58.591	156.395	-94.499	74.925
16	3.925	129.577	90.844	154.653	-30.362	47.966
17	0.920	116.436	97.326	135.928	142.125	11.169
18	0.640	118.944	109.982	127.947	10.954	7.733
19	10.582	84.694	59.527	142.000	-0.975	129.570
20	9.203	71.209	41.057	112.641	-89.875	112.653
21	11.302	84.169	58.817	132.388	-0.608	138.375
22	9.763	77.587	49.342	125.234	-89.178	119.522
23	4.905	93.289	43.393	141.333	-89.766	60.000
24	6.144	112.698	72.355	142.085	-89.813	75.184
25	4.631	120.035	78.731	169.156	33.896	56.648
26	0.993	100.075	67.346	113.074	-153.435	12.047
27	0.433	107.063	100.590	114.354	8.130	5.195
28	9.656	144.559	79.690	220.500	-175.246	118.203
29	7.757	137.260	80.035	214.824	-86.304	94.973
30	9.836	144.136	76.763	220.944	-175.333	120.399
31	8.017	141.183	76.832	218.488	-86.995	98.094
32	4.791	154.909	76.518	200.515	-83.766	58.632
33	5.998	168.463	121.353	201.440	-83.871	73.399
34	3.885	168.159	98.984	231.751	-146.146	47.478
35	0.573	129.312	103.000	148.166	22.932	6.914
36	0.213	128.459	73.333	149.667	29.055	2.521
37	9.323	161.765	80.338	235.942	-174.705	114.120
38	7.677	166.624	81.658	232.080	-84.616	93.966
39	9.403	160.544	75.000	236.086	-174.629	115.118
40	8.030	168.578	73.000	246.816	-85.284	98.292
41	4.625	173.702	76.881	200.623	-82.291	56.593
42	5.791	173.527	101.333	198.682	95.159	70.817
43	3.305	172.242	118.406	206.545	-160.907	40.428
44	0.426	145.747	121.667	162.667	5.440	5.166
45	0.253	137.803	81.703	155.667	14.036	3.029
46	18.692	176.372	30.345	233.606	-90.000	122.640
47	14.772	180.564	10.442	216.640	-0.541	96.858
48	17.741	172.395	32.887	227.551	-89.325	116.354
49	15.027	180.806	9.916	250.909	-0.885	98.487
50	8.256	179.493	79.839	208.222	-0.646	54.014
51	10.598	176.910	53.691	228.444	0.377	69.443
52	6.911	194.111	49.556	227.048	-91.928	45.301
53	1.345	163.926	93.201	229.000	98.130	8.614
54	0.487	163.495	87.067	199.000	-101.310	3.106
