 	Area	Mean	Min	Max	Angle	Length
1	4.170	168.965	113.449	186.258	97.297	52.488
2	4.371	152.827	84.363	191.207	-171.870	54.997
3	4.415	170.490	148.182	183.405	96.394	55.583
4	3.849	160.240	117.068	190.624	6.776	48.433
5	2.942	176.809	161.476	187.783	7.400	36.974
6	3.263	175.520	144.767	192.145	8.224	41.057
7	1.235	178.096	148.667	189.212	-55.008	15.500
8	0.731	164.540	147.901	183.667	-54.926	9.116
9	16.534	168.423	0.000	240.683	-53.305	208.253
10	4.466	137.624	72.493	189.251	91.214	56.203
11	4.088	138.164	58.667	192.667	0.000	51.428
12	4.541	143.065	84.633	178.521	-90.716	57.147
13	3.427	123.161	64.512	205.436	0.317	43.096
14	2.746	149.675	119.690	188.234	0.395	34.524
15	2.954	148.946	105.872	189.094	0.735	37.146
16	1.216	181.566	153.833	206.396	-69.864	15.216
17	0.705	174.653	141.490	193.848	104.036	8.835
18	16.566	150.204	0.000	184.633	-36.242	208.614
19	4.365	122.558	63.079	189.864	167.651	54.921
20	4.006	113.446	67.698	190.696	-100.886	50.431
21	4.428	121.548	72.790	178.340	-12.078	55.726
22	3.527	117.374	71.020	166.804	78.750	44.349
23	2.904	145.287	101.702	175.741	78.983	36.546
24	3.061	150.340	113.355	172.935	79.061	38.477
25	1.190	130.981	101.028	158.057	-59.194	14.899
26	0.598	108.813	91.234	132.431	122.330	7.426
27	16.528	139.221	0.000	168.666	-36.411	208.180
28	4.214	154.589	130.000	181.333	-90.000	53.015
29	4.617	159.922	125.158	202.792	-0.470	58.097
30	4.705	164.154	115.933	198.004	-90.307	59.207
31	4.163	162.754	117.406	197.895	-0.694	52.384
32	3.118	174.137	104.517	201.737	-0.696	39.209
33	3.408	172.552	121.951	205.044	-0.849	42.862
34	1.260	155.848	140.333	169.618	-62.403	15.761
35	0.731	141.074	128.787	159.542	114.775	9.091
36	16.540	139.976	0.000	193.040	-36.372	208.371
37	4.535	117.638	71.643	187.742	-2.313	57.084
38	4.289	118.817	80.307	174.733	-89.916	53.968
39	4.604	117.858	64.786	177.037	-1.650	57.908
40	3.729	127.105	70.287	164.128	-90.582	46.881
41	3.112	148.768	100.244	179.166	88.840	39.162
42	3.313	147.370	100.372	181.693	89.891	41.693
43	1.361	146.739	105.739	180.195	-27.522	17.038
44	0.693	156.497	144.616	165.357	152.021	8.615
45	16.547	139.922	0.000	176.713	143.313	208.428
46	4.447	119.957	54.924	167.226	31.298	55.914
47	4.107	118.598	74.286	163.654	-60.757	51.663
48	4.567	122.307	55.766	189.538	-147.978	57.475
49	3.660	113.378	50.589	171.119	-60.696	46.051
50	3.030	123.251	83.503	150.211	-61.618	38.067
51	3.206	122.460	74.130	153.466	-61.318	40.347
52	1.241	133.032	94.059	163.517	78.232	15.565
53	0.693	117.689	106.866	137.000	-103.782	8.662
54	16.553	130.601	0.000	176.574	-38.074	208.489
55	4.617	124.668	77.660	169.463	-48.431	58.131
56	4.510	116.581	75.891	162.615	41.713	56.774
57	4.611	125.441	57.055	185.468	132.115	57.988
58	3.968	111.293	59.346	185.460	42.421	49.884
59	3.238	127.171	79.302	188.531	41.207	40.719
60	3.433	138.866	77.232	167.887	41.424	43.184
61	1.310	147.243	127.441	166.742	159.638	16.423
62	0.731	135.900	120.083	150.349	-20.323	9.140
63	16.585	130.966	0.000	177.137	-38.769	208.875
64	4.472	139.756	101.899	179.399	152.279	56.303
65	4.397	133.434	92.404	180.508	-119.949	55.323
66	4.661	142.166	83.642	186.857	-28.784	58.678
67	3.867	122.327	86.802	155.041	59.165	48.618
68	3.124	166.150	126.188	186.142	59.910	39.258
69	3.414	165.434	123.991	187.069	59.835	42.960
70	1.361	154.210	112.764	172.616	12.875	17.096
71	0.592	162.993	154.496	170.662	-170.134	7.411
72	16.585	151.395	0.000	200.290	-36.783	208.887
