	Area	Mean	Min	Max	Angle	Length
1	4.751	140.54	88.413	254.667	-162.838	58.097
2	3.692	132.454	74.606	197.939	-72.547	45.182
3	4.991	141.656	88.205	254.333	18.387	61.077
4	3.399	132.582	93.555	252.976	-72.633	41.569
5	1.506	152.533	146.842	160.027	-73.496	18.39
6	2.546	152.611	134.589	253.667	-72.897	31.089
7	2.466	145.214	95.897	175.898	-136.975	30.149
8	17.013	146.552	0	197.667	0	208.327
9	17.013	146.552	0	197.667	0	208.327
10	4.571	136.998	78.64	254.667	-80.414	55.882
11	3.658	142.19	77.019	254	11.679	44.763
12	4.751	136.978	82.697	253.578	-80.3	58.137
13	3.419	142.199	74.1	254.302	11.837	41.787
14	1.273	148.08	138.333	161.72	11.842	15.514
15	2.159	147.524	128.11	253.039	10.162	26.373
16	2.312	144.951	105.26	175.006	-93.483	28.215
17	17.06	146.997	61.333	210.667	0	208.98
18	17.06	146.997	61.333	210.667	0	208.98
19	4.431	139.003	84.385	254.629	25.56	54.185
20	3.838	140.99	85.414	254.444	113.042	46.963
21	4.545	135.124	86.741	254.612	25.022	55.609
22	3.419	136.955	81.777	252.296	112.758	41.805
23	1.259	154.365	126.914	254.503	-69.159	15.364
24	2.246	152.416	122.333	254	111.833	27.448
25	2.346	144.816	104.152	178.732	60.438	28.661
26	17.06	146.083	91.667	173	0	208.98
27	17.06	146.083	91.667	173	0	208.98
28	5.178	134.76	77.441	254.058	15.793	63.332
29	4.218	144.027	89.876	254.966	104.937	51.589
30	5.371	133.018	85.22	253.856	16.454	65.711
31	3.812	143.75	99.164	253.834	105.863	46.617
32	1.399	154.306	144.489	253.751	102.44	17.059
33	2.179	148.894	142.926	213.175	-76.729	26.612
34	2.639	149.799	90.074	253.291	36.87	32.261
35	17.04	148.032	0	185.333	0	208.653
36	17.04	148.032	0	185.333	0	208.653
37	4.332	132.126	91.974	254.608	-37.046	53.007
38	3.845	128.255	92.603	253.859	51.698	47.036
39	4.558	132.803	89.052	252.296	-37.809	55.779
40	3.385	127.937	87.921	254.548	51.323	41.425
41	1.313	153.734	145.161	253.753	54.36	15.981
42	2.066	148.55	142.491	249.472	53.836	25.232
43	2.359	144.25	105.333	188.895	-88.544	28.854
44	17.06	143.674	0	196	0	208.898
45	17.06	143.674	0	196	0	208.898
46	4.405	133.495	72.328	254.222	36.436	53.857
47	3.625	134.358	91.257	254.391	126.469	44.366
48	4.611	130.759	61.953	254.667	36.472	56.426
49	3.419	126.783	85.133	252.977	128.415	41.766
50	1.439	153.296	144.023	254.351	-54.09	17.525
51	2.466	149.603	142.38	254.333	126.621	30.106
52	2.226	148.605	111.407	173.982	42.563	27.193
53	17.06	148.028	0	173.667	0	208.898
54	17.06	148.028	0	173.667	0	208.898
55	4.571	152.138	81.046	209.175	5.361	55.918
56	4.065	156.859	74.288	218.811	-87.175	49.693
57	4.571	152.697	72.766	204.911	5.361	55.918
58	3.445	156.088	68.116	217.302	-84.886	42.127
59	1.386	164.652	80.115	176.574	-83.355	16.93
60	2.332	167.703	79.084	176.87	95.254	28.528
61	2.466	167.345	81.569	202.959	12.832	30.14
62	17.046	171.58	0	179	0	208.735
63	17.046	171.58	0	179	0	208.735
64	4.631	148.191	76.044	207.865	29.704	56.648
65	4.058	152.1	81.274	214.55	-60.314	49.627
66	4.611	145.954	73.857	226.767	29.457	56.392
67	3.385	150.498	72.411	215.063	-60.759	41.421
68	1.293	167.071	76.842	193.565	-60.255	15.795
69	2.246	168.326	80.49	188.384	-60.763	27.434
70	2.352	166.015	78.946	202.42	15.655	28.706
71	17.06	170.052	0	229.667	0	208.898
72	17.06	170.052	0	229.667	0	208.898
73	5.218	115.494	71.667	145.664	104.214	63.832
74	4.518	114.284	76.356	158.675	13.667	55.279
75	5.224	115.36	78.65	141.256	104.639	63.954
76	3.932	112.272	77.451	150.187	12.761	48.044
77	1.553	130.703	78.168	142.439	12.958	18.931
78	2.379	128.841	79.667	137.991	14.973	29.069
79	2.726	132.322	100.667	142.765	95.906	33.32
80	17.06	128.935	74.333	150	0	208.98
81	17.06	128.935	74.333	150	0	208.98
82	5.344	125.854	77.543	164.653	-65.035	65.373
83	4.332	122.4	83.661	176.133	28.145	52.956
84	5.651	128.075	81.615	184.924	-66.038	69.143
85	3.945	121.535	78.733	159.633	28.301	48.212
86	1.493	139.552	76	154.551	24.955	18.188
87	2.132	141.785	81.057	158.897	24.8	26.079
88	2.552	151.077	72.333	180	-90	31.184
89	17.04	139.667	0	165.333	0	208.653
90	17.04	139.667	0	165.333	0	208.653
91	5.391	129.181	74.242	171.637	-5.964	65.99
92	4.212	131.485	73.817	190.221	-95.277	51.483
93	5.624	126.639	79.538	171.038	-6.535	68.856
94	3.705	129.929	77.667	193.537	-95.998	45.309
95	1.473	149.026	77.151	165.667	-97.836	17.964
96	2.006	148.614	74.64	170.82	84.251	24.449
97	2.539	148.795	126.067	173.24	16.815	31.041
98	17.06	145.363	73.667	177	0	208.98
99	17.06	145.363	73.667	177	0	208.98
100	5.458	124.376	82	163.71	-105.464	66.743
101	4.072	125.866	81.363	164.022	-16.771	49.791
102	5.511	126.347	77.096	163.858	-105.45	67.416
103	3.645	124.695	79.553	161.681	-17.904	44.609
104	1.479	141.883	78.333	156.23	-14.162	18.017
105	1.899	141.269	77.015	165.148	-16.39	23.145
106	2.412	150.679	114.686	168.574	-132.979	29.457
107	17.02	139.923	0	166.667	0	208.408
108	17.04	144.267	0	190.333	0	208.653
109	5.571	126.214	76.463	173.098	11.391	68.179
110	4.032	122.61	80.769	168.257	-78.448	49.331
111	5.818	126.978	70.106	164.951	11.916	71.193
112	3.698	125.94	77.858	166.574	-78.426	45.211
113	1.313	138.571	78.325	147.98	-78.805	15.988
114	1.853	141.076	82.017	147.246	-78.974	22.627
115	2.372	141.701	110.854	183.193	32.706	28.984
116	17.06	143.421	0	149	0	208.898
117	17.06	143.421	0	149	0	208.898
118	5.364	144.22	81.573	193.707	-7.143	65.652
