 	Area	Mean	Min	Max	Angle	Length
1	3.832	201.041	77.999	252.763	-85.394	46.822
2	3.605	192.047	82.577	253.972	3.292	44.044
3	4.045	202.748	83.222	254.095	-83.754	49.486
4	3.958	192.055	79.124	249.469	-0.676	48.438
5	2.912	207.595	74.321	238.097	2.626	35.629
6	3.519	209.326	75.447	241.825	1.739	43.013
7	1.786	201.041	164.572	250.838	131.044	21.758
8	0.633	196.683	179.333	210.185	-52.765	7.685
9	17.000	213.843	170.333	248.000	0.000	208.163
10	3.698	114.973	71.527	174.078	-32.027	45.255
11	3.292	100.345	61.306	167.043	58.956	40.208
12	3.785	112.655	63.214	168.731	-33.634	46.278
13	3.632	108.753	64.795	180.897	58.530	44.409
14	2.392	136.955	82.667	147.218	56.842	29.253
15	3.139	126.643	79.319	148.153	57.865	38.368
16	1.766	129.421	79.332	170.550	-49.304	21.534
17	0.433	107.867	98.749	123.000	128.660	5.227
18	17.060	130.989	0.000	180.333	0.000	208.898
19	3.199	112.498	67.722	169.950	102.295	39.101
20	3.245	117.850	65.242	185.048	10.431	39.676
21	3.479	114.276	63.632	168.952	101.957	42.556
22	3.645	114.537	67.742	179.260	12.051	44.574
23	2.639	137.180	80.667	171.473	12.560	32.283
24	3.319	130.662	79.792	157.388	10.903	40.569
25	1.679	127.938	110.290	143.712	105.695	20.520
26	0.586	147.228	130.333	158.596	-74.055	7.132
27	17.040	127.236	0.000	193.667	0.000	208.653
28	3.445	121.982	75.646	188.076	62.045	42.116
29	3.552	120.245	81.778	174.185	-26.806	43.420
30	3.905	126.693	74.812	195.047	62.734	47.755
31	3.778	115.454	74.056	182.487	-28.424	46.170
32	2.692	132.778	81.111	158.458	-25.866	32.907
33	3.319	138.308	82.531	183.564	-24.864	40.564
34	1.846	128.346	91.203	151.838	64.179	22.490
35	0.600	117.620	103.877	136.544	-116.565	7.301
36	17.060	135.348	0.000	152.000	0.000	208.898
37	3.552	119.055	70.592	204.684	33.571	43.410
38	3.359	104.699	64.281	185.632	-58.841	41.066
39	3.878	117.331	70.079	187.772	34.046	47.426
40	3.718	107.951	62.538	159.997	-58.224	45.458
41	2.252	139.082	78.815	163.916	-57.255	27.474
42	3.205	132.967	82.131	168.196	-56.706	39.215
43	1.733	134.524	86.180	157.444	37.798	21.183
44	0.646	124.901	109.667	148.796	-143.842	7.859
45	17.060	132.010	75.667	217.000	0.000	208.980
46	2.905	120.449	70.474	164.053	-75.484	35.534
47	3.039	105.211	68.848	157.205	15.652	37.183
48	3.259	121.973	67.543	168.410	-75.992	39.809
49	3.392	118.250	72.505	172.676	18.221	41.476
50	2.712	131.489	80.761	164.987	12.942	33.163
51	3.179	133.383	81.333	160.803	14.474	38.886
52	1.739	150.383	81.497	175.357	-73.301	21.247
53	0.606	150.576	136.306	158.947	108.838	7.366
54	17.046	136.209	0.000	148.667	0.000	208.735
55	3.412	119.123	78.107	169.828	36.646	41.687
56	2.606	116.861	75.626	179.167	-54.189	31.810
57	3.812	123.561	75.056	194.832	36.830	46.650
58	3.025	117.020	66.667	222.872	-54.345	36.972
59	2.666	126.922	79.536	154.704	-52.756	32.545
60	3.185	130.392	80.813	164.143	-52.842	38.923
61	1.546	133.912	112.667	154.312	-146.861	18.868
62	0.426	108.823	101.698	122.463	32.681	5.134
63	17.060	132.312	75.333	178.333	0.000	208.980
64	3.359	133.175	81.153	181.105	71.097	41.063
65	3.152	117.450	69.411	188.213	-20.741	38.511
66	3.738	130.673	73.382	197.727	72.310	45.712
67	3.492	121.845	69.193	187.921	-21.517	42.708
68	2.839	131.968	80.280	163.361	-19.118	34.662
69	3.359	134.021	79.908	149.416	-19.876	41.074
70	1.599	148.751	105.536	169.190	111.623	19.545
71	0.560	151.035	135.453	161.675	-68.325	6.791
72	17.060	139.548	82.000	165.333	0.000	208.980
73	3.765	131.148	74.257	173.747	5.700	46.051
74	2.899	119.798	81.825	159.226	-82.859	35.425
75	4.145	130.549	77.424	167.540	6.289	50.699
76	3.232	118.424	81.074	165.234	-81.101	39.547
77	2.706	138.514	77.545	157.360	-83.488	33.078
78	3.232	136.213	78.196	156.024	-83.712	39.533
79	1.846	138.049	124.961	150.716	37.912	22.491
80	0.593	139.788	135.129	145.683	-140.528	7.191
81	17.046	139.981	0.000	168.000	0.000	208.735
