 	Area	Mean	Min	Max	Angle	Length
1	4.518	132.368	79.819	254.815	-10.214	55.296
2	4.145	136.472	84.440	253.018	-102.939	50.695
3	4.498	134.586	82.424	253.525	-10.609	55.034
4	3.199	131.170	82.766	188.230	-104.993	39.102
5	3.705	146.706	109.808	181.371	-102.585	45.287
6	2.746	143.027	118.747	251.578	-102.755	33.588
7	2.132	137.576	116.196	169.811	116.082	26.043
8	17.060	145.289	70.000	173.667	0.000	208.980
9	17.060	145.289	70.000	173.667	0.000	208.980
10	4.298	137.489	91.743	253.441	-0.979	52.579
11	4.911	139.852	76.250	254.420	-90.934	60.090
12	4.431	139.035	93.327	253.874	-1.035	54.213
13	3.678	136.203	74.829	253.341	-91.458	44.966
14	3.938	148.381	129.982	254.333	-92.333	48.149
15	2.832	148.838	129.306	169.145	-91.216	34.621
16	2.292	150.414	124.316	168.948	178.998	27.978
17	17.060	147.210	91.333	172.000	0.000	208.980
18	17.060	147.210	91.333	172.000	0.000	208.980
19	4.525	142.161	82.494	254.667	-8.920	55.312
20	4.911	134.898	89.415	248.296	-101.356	60.068
21	4.585	143.382	82.332	254.333	-8.791	56.065
22	3.712	133.491	94.093	249.987	-101.391	45.424
23	3.725	145.213	102.804	253.556	-102.016	45.513
24	2.786	144.190	120.279	252.889	-101.337	34.068
25	2.086	146.892	118.556	254.520	-175.404	25.445
26	17.060	146.535	88.667	178.333	0.000	208.980
27	17.060	146.535	88.667	178.333	0.000	208.980
28	4.278	136.983	89.932	254.437	-145.294	52.324
29	4.305	130.199	86.860	253.444	-53.326	52.659
30	4.345	137.412	92.835	254.489	34.985	53.144
31	3.332	126.424	79.447	253.991	-51.662	40.763
32	3.452	145.761	104.156	254.132	-54.527	42.222
33	2.779	148.856	120.128	254.433	-54.782	33.973
34	2.032	146.746	120.611	253.807	-174.515	24.823
35	17.046	145.002	0.000	176.333	0.000	208.735
36	17.046	145.002	0.000	176.333	0.000	208.735
37	4.498	137.387	82.274	254.444	-151.383	55.039
38	4.731	137.637	72.792	251.982	-61.557	57.906
39	4.451	140.760	88.841	254.333	28.062	54.486
40	3.505	134.832	87.900	249.636	-63.435	42.835
41	3.638	142.415	117.756	253.726	-62.354	44.499
42	2.512	145.060	120.663	254.333	-62.958	30.667
43	2.139	137.228	118.815	163.768	153.515	26.139
44	17.060	145.826	91.333	178.333	0.000	208.980
45	17.060	145.826	91.333	178.333	0.000	208.980
46	4.525	110.078	70.960	254.333	11.492	55.308
47	4.498	109.077	59.560	250.889	-81.473	55.031
48	4.505	111.049	75.370	254.603	-168.391	55.116
49	3.638	106.226	73.439	252.778	-81.350	44.471
50	3.625	112.951	92.023	253.667	-79.290	44.316
51	3.019	110.979	100.235	122.917	-80.308	36.879
52	2.152	112.202	92.556	137.525	144.586	26.305
53	17.060	115.268	72.333	142.667	0.000	208.980
54	17.060	115.268	72.333	142.667	0.000	208.980
55	4.098	122.993	82.111	161.024	-8.051	50.119
56	4.791	122.086	85.370	170.453	-101.811	58.597
57	4.298	122.537	78.842	164.258	-7.136	52.543
58	3.339	117.284	89.778	155.480	-102.479	40.801
59	3.672	145.659	77.111	158.383	-100.901	44.892
60	2.692	135.231	79.778	147.012	-100.445	32.876
61	2.172	146.346	108.261	164.540	-148.946	26.563
62	17.060	140.548	85.000	177.000	0.000	208.980
63	17.060	140.548	85.000	177.000	0.000	208.980
64	4.045	127.627	83.410	158.239	-2.650	49.468
65	4.945	127.289	79.324	159.878	-95.418	60.466
66	4.158	128.614	82.603	163.769	-2.945	50.897
67	3.392	123.429	76.807	170.203	-93.844	41.450
68	3.845	141.057	81.228	151.691	-93.483	46.997
69	3.172	143.072	82.155	155.197	-93.374	38.816
70	2.132	145.673	82.725	158.302	30.347	26.004
71	17.060	142.449	0.000	175.667	0.000	208.898
72	17.060	142.449	0.000	175.667	0.000	208.898
73	4.112	125.740	77.114	168.572	-13.134	50.295
74	4.865	126.196	77.224	187.970	-102.759	59.490
75	4.198	125.818	76.592	170.595	-12.598	51.308
76	3.419	122.029	81.111	169.924	-102.407	41.804
77	3.565	141.286	76.735	152.405	-102.237	43.552
78	2.799	139.110	78.951	156.854	-103.107	34.191
79	1.846	138.783	108.420	166.084	-46.026	22.554
80	17.046	140.677	0.000	165.333	0.000	208.735
81	17.046	140.677	0.000	165.333	0.000	208.735
82	4.105	132.215	81.185	167.109	-45.725	50.184
83	4.951	124.738	80.684	168.827	43.472	60.592
84	4.278	131.132	78.951	169.861	-45.695	52.339
85	3.252	117.164	81.294	147.487	45.748	39.794
86	3.772	141.490	76.249	149.743	44.068	46.107
87	2.945	144.457	78.372	155.606	45.551	36.020
88	2.079	144.616	121.408	157.999	-11.310	25.423
89	17.026	143.860	0.000	171.000	0.000	208.490
90	17.026	143.860	0.000	171.000	0.000	208.490
