 	Area	Mean	Min	Max	Angle	Length
1	6.757	73.552	41.499	98.715	40.675	82.664
2	5.458	74.304	38.427	101.275	-47.825	66.751
3	7.137	73.770	44.974	105.379	41.020	87.315
4	5.071	73.406	46.631	110.320	-46.920	62.029
5	3.392	82.692	78.178	88.667	-49.069	41.492
6	3.392	82.692	78.178	88.667	-49.069	41.492
7	2.472	83.648	65.171	94.711	-3.721	30.186
8	17.026	80.768	0.000	108.667	0.000	208.490
9	0.273	82.296	77.093	87.733	45.000	3.232
10	6.557	100.493	74.115	129.125	-136.608	80.209
11	6.111	99.738	57.752	134.190	-44.204	74.816
12	7.477	103.895	66.083	123.583	42.614	91.513
13	5.338	94.689	68.835	137.341	-44.848	65.285
14	3.685	116.107	104.661	123.221	-45.441	45.025
15	3.685	116.107	104.661	123.221	-45.441	45.025
16	2.232	115.640	109.458	125.667	-139.008	27.254
17	17.046	111.024	0.000	137.000	0.000	208.735
18	0.333	107.899	79.667	117.891	49.145	3.993
19	7.777	95.606	69.356	136.026	3.687	95.217
20	5.338	101.831	70.844	126.928	-85.914	65.309
21	8.003	94.226	68.494	128.528	3.728	97.922
22	5.244	101.126	75.703	124.918	-85.182	64.145
23	3.972	116.620	73.719	127.205	-86.244	48.594
24	3.972	116.620	73.719	127.205	-86.244	48.594
25	2.612	113.668	94.082	129.867	8.379	31.933
26	17.060	108.577	0.000	134.000	0.000	208.898
27	0.307	114.712	80.259	125.111	6.340	3.696
28	7.237	152.133	75.333	237.578	140.722	88.584
29	6.217	150.084	77.814	231.571	52.319	76.122
30	7.584	151.176	81.455	213.352	-38.896	92.825
31	5.531	148.241	77.773	220.365	53.089	67.690
32	3.845	174.619	79.333	183.027	-128.660	47.043
33	3.845	174.619	79.333	183.027	-128.660	47.043
34	2.666	176.866	135.000	218.746	102.155	32.567
35	17.060	166.663	97.333	226.333	0.000	208.980
36	0.293	155.118	77.556	178.890	-37.405	3.485
37	6.984	161.949	77.333	239.211	0.657	85.475
38	5.704	156.583	77.633	224.407	-90.804	69.803
39	7.390	163.312	69.822	233.831	1.863	90.415
40	4.785	159.163	73.234	236.121	-88.562	58.549
41	3.465	167.297	77.551	176.744	-90.993	42.374
42	3.465	167.297	77.551	176.744	-90.993	42.374
43	2.592	174.237	133.838	213.167	55.081	31.659
44	17.040	165.200	0.000	229.667	0.000	208.653
45	0.333	149.305	81.852	187.593	-14.036	4.039
46	7.117	171.131	76.577	239.805	-131.353	87.107
47	6.044	169.469	72.639	253.532	-43.256	73.977
48	7.603	169.393	75.667	253.520	48.842	93.028
49	5.158	169.389	85.273	252.457	-43.112	63.068
50	3.838	192.762	80.611	202.833	-40.342	46.911
51	3.838	192.762	80.611	202.833	-40.342	46.911
52	2.619	201.417	135.668	244.053	-84.289	31.996
53	17.060	187.808	113.000	248.333	0.000	208.980
54	0.367	178.442	82.900	208.444	-129.668	4.369
55	6.810	177.001	82.255	246.207	-25.586	83.358
56	5.711	179.236	75.000	242.834	-119.172	69.838
57	7.530	177.799	76.429	246.671	154.661	92.129
58	5.191	174.781	70.667	240.785	-119.334	63.487
59	3.718	196.471	79.455	205.831	-117.255	45.455
60	3.718	196.471	79.455	205.831	-117.255	45.455
61	2.479	203.392	142.248	246.219	-162.591	30.285
62	17.046	191.023	0.000	247.333	0.000	208.735
63	0.247	211.324	82.667	252.802	-29.358	2.971
64	7.044	174.583	81.140	242.375	60.376	86.207
65	5.831	175.286	78.946	232.413	-32.381	71.337
66	7.537	173.052	75.512	246.209	-119.764	92.251
67	5.238	177.291	78.328	241.405	-33.143	64.054
68	3.758	194.425	78.131	207.437	-29.707	45.959
69	3.758	194.425	78.131	207.437	-29.707	45.959
70	2.619	190.785	159.273	250.572	16.909	31.996
71	17.060	192.763	0.000	246.667	0.000	208.898
72	0.260	157.712	83.195	189.226	57.995	3.080
