 	Area	Mean	Min	Max	Angle	Length
1	3.585	142.364	71.667	232.411	-81.870	43.869
2	3.519	137.769	80.000	196.539	6.100	43.019
3	4.052	142.902	78.492	231.264	-82.430	49.575
4	3.085	137.160	77.438	207.520	5.464	37.722
5	3.265	159.359	76.720	193.422	8.461	39.945
6	2.832	163.574	80.000	188.820	7.595	34.589
7	1.659	147.632	104.413	173.448	-33.818	20.241
8	17.060	157.369	91.667	230.000	0.000	208.980
9	17.060	157.369	91.667	230.000	0.000	208.980
10	3.878	136.134	78.743	189.199	-29.256	47.415
11	3.712	133.389	62.924	205.312	-114.674	45.391
12	4.278	135.257	81.516	177.931	-29.402	52.342
13	3.152	131.518	80.232	198.326	-114.826	38.519
14	3.332	140.238	78.346	156.636	64.102	40.746
15	2.985	139.457	76.774	156.494	-116.450	36.459
16	1.706	119.136	96.013	146.754	21.134	20.779
17	17.046	140.119	0.000	180.333	0.000	208.735
18	17.046	140.119	0.000	180.333	0.000	208.735
19	3.605	159.353	76.000	243.367	-52.367	44.118
20	3.425	164.669	80.741	245.322	39.462	41.871
21	4.058	161.609	64.667	249.053	-51.546	49.619
22	2.979	165.364	80.761	245.474	40.267	36.374
23	3.132	177.465	81.709	201.821	39.461	38.276
24	2.719	180.493	79.304	198.077	40.022	33.258
25	1.686	198.542	175.429	221.698	-96.390	20.536
26	17.046	187.769	0.000	231.667	0.000	208.735
27	17.046	187.769	0.000	231.667	0.000	208.735
28	3.572	166.945	80.547	218.452	26.947	43.712
29	3.292	162.870	74.294	252.894	-61.510	40.228
30	3.938	174.589	76.243	250.025	26.174	48.142
31	2.912	169.118	82.358	246.330	-61.379	35.607
32	3.319	183.728	78.239	214.533	-63.229	40.596
33	2.879	175.876	76.998	199.404	-61.888	35.156
34	1.806	215.717	190.498	237.863	-19.310	22.031
35	17.060	189.215	0.000	198.000	0.000	208.898
36	17.060	189.215	0.000	198.000	0.000	208.898
37	3.519	162.830	78.627	248.082	-87.610	43.028
38	3.445	169.263	83.558	234.860	0.666	42.125
39	4.005	170.118	82.013	243.807	-88.186	49.003
40	2.992	153.785	74.206	222.581	-0.256	36.572
41	3.252	183.059	83.213	215.689	2.469	39.766
42	2.799	183.376	77.364	212.713	3.278	34.233
43	1.699	173.850	136.336	200.555	-134.840	20.703
44	17.060	189.150	0.000	220.000	0.000	208.898
45	17.060	189.150	0.000	220.000	0.000	208.898
46	3.658	173.016	83.591	236.326	29.187	44.729
47	3.599	164.415	80.713	228.113	-60.202	44.025
48	4.085	178.599	74.555	237.143	28.618	49.974
49	3.299	176.331	80.737	240.641	-58.241	40.324
50	3.279	192.913	82.085	224.848	-60.096	40.083
51	2.812	191.452	75.242	224.034	-60.576	34.359
52	1.679	197.290	184.472	230.963	-20.529	20.459
53	17.046	194.500	0.000	251.000	0.000	208.735
54	17.046	194.500	0.000	251.000	0.000	208.735
55	3.552	173.875	80.864	236.685	46.828	43.430
56	3.405	175.392	76.434	226.482	-40.309	41.628
57	3.972	176.763	75.358	239.517	47.111	48.597
58	3.152	168.498	82.252	239.702	-40.786	38.510
59	3.272	190.962	76.258	217.098	-44.587	40.022
60	2.872	191.672	79.955	214.129	-43.493	35.108
61	1.706	194.220	155.472	216.486	-13.601	20.829
62	17.020	192.479	0.000	245.000	0.000	208.408
63	17.020	192.479	0.000	245.000	0.000	208.408
64	3.752	169.487	78.452	244.904	-32.588	45.864
65	3.579	160.566	82.216	235.470	57.972	43.761
66	4.118	169.655	79.798	245.003	-32.379	50.396
67	3.172	168.835	79.460	240.894	60.195	38.760
68	3.272	195.964	81.254	226.296	58.515	39.967
69	2.852	194.749	83.666	221.535	58.392	34.890
70	1.713	175.045	142.246	206.549	16.377	20.872
71	17.040	194.344	0.000	245.000	0.000	208.653
72	17.040	194.344	0.000	245.000	0.000	208.653
73	3.752	176.383	81.064	249.902	-24.284	45.842
74	3.185	167.812	80.705	224.959	-114.952	38.907
75	4.085	177.900	80.455	251.685	-24.428	49.976
76	2.952	168.493	78.728	249.911	-112.211	36.079
77	3.159	185.156	82.852	210.269	-113.532	38.603
78	2.786	178.754	80.328	204.398	-112.567	34.060
79	1.699	223.812	202.021	244.289	-75.854	20.749
80	17.060	195.077	72.000	243.000	0.000	208.980
81	17.060	195.077	72.000	243.000	0.000	208.980
