 	Area	Mean	Min	Max	Angle	Length
1	5.691	138.411	63.019	190.610	-143.009	69.600
2	3.865	139.939	78.670	203.799	-51.943	47.275
3	5.971	137.482	81.000	189.011	37.369	73.031
4	3.352	139.082	82.667	202.983	-52.035	41.003
5	2.192	152.913	77.333	172.316	-49.456	26.749
6	3.032	147.077	79.736	184.907	-50.097	37.031
7	2.732	133.028	115.802	151.000	-97.595	33.354
8	17.060	149.506	66.333	210.667	0.000	208.980
9	0.340	121.233	94.440	162.000	57.265	4.076
10	5.211	145.957	76.385	201.783	57.225	63.787
11	4.185	144.342	82.486	208.145	-32.702	51.221
12	5.511	145.652	76.667	208.722	-122.535	67.393
13	3.265	140.859	81.333	203.196	-31.446	39.901
14	2.319	151.915	78.000	173.841	-33.003	28.326
15	3.245	156.988	130.494	173.395	-30.842	39.648
16	2.599	135.199	109.492	177.065	-168.430	31.747
17	17.046	153.194	0.000	209.667	0.000	208.735
18	0.367	140.962	117.543	160.333	56.310	4.415
19	5.951	142.202	71.768	206.279	170.126	72.834
20	4.032	139.003	77.958	192.035	-100.585	49.329
21	6.157	141.129	80.356	205.313	169.895	75.373
22	3.352	137.547	78.752	192.284	-97.210	40.977
23	2.519	156.447	74.106	180.037	-99.612	30.800
24	3.219	155.708	79.718	166.966	-98.231	39.344
25	2.659	141.874	97.736	172.037	-168.690	32.467
26	17.060	153.652	84.667	216.000	0.000	208.980
27	0.307	119.463	104.111	141.089	-3.814	3.682
28	5.011	140.560	80.911	204.013	64.458	61.342
29	3.805	143.705	79.099	188.107	-27.913	46.560
30	5.391	140.716	80.018	190.618	64.482	65.943
31	2.939	139.122	78.667	207.332	-28.486	35.943
32	2.306	148.250	80.055	180.966	-25.228	28.155
33	3.172	152.079	81.116	158.693	-26.241	38.771
34	2.639	140.178	115.977	173.069	-61.876	32.211
35	17.040	151.364	87.333	209.333	0.000	208.653
36	0.347	163.893	77.337	178.504	69.444	4.185
37	5.398	192.989	85.031	254.136	13.727	66.050
38	4.192	185.783	74.667	248.292	-78.422	51.247
39	5.931	193.378	78.078	254.259	13.661	72.584
40	3.405	184.245	77.319	250.373	-79.153	41.642
41	2.412	206.898	74.000	238.043	-78.503	29.490
42	3.379	211.404	75.282	222.592	-78.024	41.307
43	2.646	210.167	188.152	245.333	-29.476	32.351
44	17.060	208.484	60.333	255.000	0.000	208.980
45	0.347	167.517	78.336	200.699	-151.928	4.163
46	5.518	127.563	75.336	168.410	-71.171	67.532
47	4.358	131.263	78.568	172.502	18.768	53.282
48	5.944	125.864	75.265	174.893	-71.748	72.720
49	3.259	130.558	80.839	182.453	18.658	39.806
50	2.466	126.528	72.475	174.360	17.993	30.126
51	3.272	140.719	76.000	146.498	18.546	40.038
52	3.025	127.897	110.396	163.222	-130.972	36.976
53	17.060	140.121	84.333	187.333	0.000	208.980
54	0.380	154.701	81.449	181.093	105.524	4.575
55	5.664	126.567	77.666	182.571	-44.427	69.271
56	4.018	127.593	77.374	192.862	44.597	49.181
57	6.017	125.880	78.421	185.667	134.865	73.597
58	3.232	123.418	73.209	192.068	44.497	39.484
59	2.399	133.142	76.912	149.118	45.339	29.266
60	3.285	138.382	76.564	145.333	46.975	40.199
61	2.739	116.929	96.627	142.472	81.158	33.459
62	17.060	138.179	74.000	190.667	0.000	208.980
63	0.406	152.506	131.000	160.347	-53.130	4.898
64	5.491	155.391	77.944	229.468	5.856	67.208
65	4.152	154.652	74.333	223.493	-86.131	50.810
66	6.051	158.052	77.700	230.251	5.315	74.033
67	3.439	149.119	82.893	235.602	-84.655	42.060
68	2.472	150.730	113.133	207.667	-86.279	30.186
69	3.272	171.637	73.233	190.667	-86.139	40.009
70	3.179	157.566	127.142	197.672	126.293	38.892
71	17.046	164.357	0.000	216.667	0.000	208.735
72	0.327	188.677	79.792	209.000	7.125	3.949
