 	Area	Mean	Min	Max	Angle	Length
1	6.277	170.453	82.556	229.688	-95.614	76.776
2	5.791	160.874	81.665	234.096	-7.682	70.840
3	7.177	173.584	117.090	231.443	-94.905	87.832
4	5.198	163.462	74.041	217.417	-5.008	63.590
5	3.305	179.959	132.477	225.208	-6.494	40.423
6	4.791	184.657	81.022	213.097	-3.835	58.580
7	2.592	183.132	159.259	197.576	48.759	31.700
8	0.560	182.054	174.535	187.274	49.844	6.801
9	1.133	188.943	82.171	200.868	55.176	13.768
10	6.331	166.456	115.290	236.686	-88.006	77.435
11	5.738	160.840	82.921	220.845	3.801	70.195
12	7.050	164.794	73.691	225.250	92.115	86.263
13	4.751	155.892	82.667	234.333	2.899	58.115
14	3.445	182.044	77.205	203.256	1.665	42.140
15	4.851	180.714	149.333	217.657	3.311	59.364
16	2.579	191.764	154.206	229.200	-69.027	31.473
17	0.553	192.073	184.163	200.787	113.749	6.689
18	1.113	171.935	79.495	200.909	-47.936	13.525
19	6.191	169.202	80.902	247.983	-81.634	75.745
20	5.411	171.159	78.362	235.518	8.940	66.192
21	6.511	170.335	70.641	247.651	-81.696	79.693
22	4.811	175.224	77.293	237.992	9.580	58.862
23	3.245	186.814	71.667	207.963	8.881	39.659
24	4.731	182.451	147.593	230.464	8.267	57.908
25	2.559	194.862	148.311	209.902	-69.864	31.301
26	0.480	187.418	158.333	193.069	102.265	5.764
27	1.040	198.867	86.969	223.040	-45.785	12.643
28	6.144	137.602	75.891	206.193	-89.813	75.184
29	5.604	134.445	76.329	192.838	1.228	68.587
30	6.864	140.536	71.763	203.481	-90.167	84.000
31	5.165	133.285	74.119	190.938	1.110	63.196
32	3.405	187.051	77.667	213.176	-0.337	41.633
33	4.785	145.739	79.201	206.333	0.240	58.531
34	2.526	173.748	156.407	193.413	-89.091	30.861
35	0.387	169.309	154.228	179.684	86.987	4.660
36	1.193	155.526	83.654	196.240	-47.726	14.563
