 	Area	Mean	Min	Max	Angle	Length
1	5.431	158.629	68.667	201.785	-2.957	66.456
2	3.445	156.634	70.725	203.818	-87.669	42.157
3	5.871	159.411	70.874	200.602	-2.540	71.826
4	3.165	151.457	71.475	193.603	-89.637	38.695
5	3.312	172.798	76.333	221.666	-92.776	40.456
6	2.865	174.636	71.615	189.667	-92.403	35.051
7	2.152	171.691	149.000	183.428	-45.754	26.324
8	1.160	174.084	149.000	181.491	141.340	14.113
9	17.046	169.967	0.000	201.667	0.000	208.735
10	4.745	147.364	77.333	195.801	160.265	58.020
11	3.459	147.156	81.199	221.880	-112.109	42.294
12	4.911	149.011	77.183	213.560	-19.026	60.099
13	2.939	140.801	79.586	185.706	-109.916	35.946
14	3.172	150.536	80.515	170.191	-107.634	38.803
15	2.792	151.754	75.110	165.264	-107.133	34.084
16	2.079	164.901	151.802	190.980	126.759	25.371
17	1.113	151.435	143.616	174.333	-47.936	13.525
18	17.046	155.806	0.000	208.000	0.000	208.735
19	5.538	159.751	82.196	237.129	-22.301	67.762
20	4.538	155.025	65.667	251.710	64.678	55.541
21	6.044	163.311	80.241	237.230	-21.978	73.945
22	3.752	166.741	82.333	249.537	-114.925	45.908
23	3.845	177.800	81.000	202.677	67.311	46.983
24	3.272	179.321	77.417	200.430	-114.996	39.990
25	2.086	187.104	155.674	203.214	123.232	25.472
26	1.080	170.993	160.919	188.000	-54.834	13.181
27	17.060	181.435	93.333	251.000	0.000	208.980
28	5.684	150.433	82.799	211.401	19.966	69.569
29	4.392	144.438	82.770	187.111	-65.188	53.691
30	6.051	145.867	72.651	206.028	21.133	74.041
31	3.958	148.474	75.975	195.383	-64.861	48.424
32	3.772	157.007	77.966	174.072	-69.159	46.120
33	3.365	162.393	80.252	174.102	-70.163	41.135
34	1.873	149.550	123.333	167.246	-26.017	22.891
35	0.880	149.295	134.000	156.333	159.905	10.692
36	17.020	155.401	103.667	207.000	0.000	208.408
37	5.051	105.605	68.735	136.864	161.996	61.802
38	3.972	100.093	72.110	147.446	-106.699	48.579
39	5.604	106.607	70.333	143.667	-17.464	68.547
40	3.545	99.367	63.043	150.100	-105.056	43.366
41	3.519	109.087	81.561	117.066	-107.919	42.983
42	3.005	110.182	82.452	120.203	-106.260	36.735
43	2.079	113.233	101.241	130.691	-159.121	25.425
44	1.013	112.145	105.592	120.667	17.354	12.316
45	17.046	107.481	0.000	143.667	0.000	208.735
46	5.924	151.353	84.876	183.273	-0.968	72.500
47	4.498	144.503	69.948	178.052	-86.169	54.980
48	6.224	149.459	76.546	188.106	-0.737	76.170
49	4.252	142.458	83.424	187.000	-86.222	52.031
50	4.125	157.320	78.016	176.311	-89.166	50.454
51	3.785	157.829	73.700	176.857	-88.788	46.296
52	2.252	155.417	129.333	166.781	-27.022	27.491
53	0.940	155.893	146.560	167.475	160.017	11.466
54	17.013	158.446	0.000	187.856	-37.166	208.362
55	5.178	155.006	91.000	198.916	8.443	63.381
56	3.845	137.260	79.293	206.149	-84.616	46.983
57	5.224	156.418	104.026	198.058	8.813	63.939
58	3.412	137.126	85.468	183.647	-82.917	41.706
59	3.312	168.191	77.427	191.539	-83.047	40.461
60	2.932	166.971	76.599	192.085	-82.535	35.814
61	1.953	154.522	135.600	170.048	-144.189	23.857
62	0.686	174.390	162.174	185.811	45.000	8.312
63	17.053	169.879	103.666	212.632	-36.816	208.833
