 	Area	Mean	Min	Max	Angle	Length
1	6.950	132.613	82.369	183.981	50.490	85.070
2	7.877	134.327	75.873	186.532	-41.911	96.422
3	7.317	134.324	75.078	189.913	50.214	89.553
4	6.331	130.988	80.000	199.719	-42.822	77.463
5	6.544	157.469	84.667	195.740	-42.769	80.065
6	5.851	153.352	73.952	217.438	-42.366	71.594
7	2.872	157.302	127.023	169.697	12.095	35.064
8	17.046	150.294	0.000	208.000	0.000	208.735
9	17.046	150.294	0.000	208.000	0.000	208.735
10	6.184	123.462	73.667	194.667	0.000	75.673
11	6.744	134.047	78.772	189.864	-90.510	82.534
12	6.924	125.744	76.472	218.385	0.331	84.736
13	5.824	130.869	86.522	166.007	-90.591	71.269
14	5.844	144.111	78.890	191.345	-89.019	71.521
15	5.324	140.940	78.895	203.476	-88.708	65.159
16	2.666	164.145	86.721	198.017	45.610	32.558
17	17.046	149.662	0.000	205.667	0.000	208.735
18	17.046	149.662	0.000	205.667	0.000	208.735
19	7.244	135.043	83.219	189.218	-51.958	88.623
20	8.483	134.411	79.667	207.333	38.871	103.802
21	7.943	137.020	83.233	210.066	127.736	97.236
22	6.784	128.649	78.000	180.766	39.373	83.002
23	6.884	150.713	81.000	198.525	38.036	84.262
24	5.904	155.008	80.871	196.185	-142.159	72.255
25	2.952	154.357	119.307	183.575	93.892	36.083
26	17.046	146.401	0.000	186.667	0.000	208.735
27	17.046	146.401	0.000	186.667	0.000	208.735
28	6.930	131.479	75.000	195.750	-64.693	84.790
29	8.357	127.941	79.991	174.267	25.829	102.302
30	7.863	133.023	77.667	194.912	-63.891	96.273
31	6.924	129.788	82.789	168.058	26.047	84.773
32	6.817	143.841	82.087	195.316	27.242	83.461
33	5.511	148.836	84.000	193.734	26.286	67.466
34	3.092	160.643	118.402	205.815	-94.086	37.810
35	17.060	148.050	79.000	188.333	0.000	208.980
36	17.060	148.050	79.000	188.333	0.000	208.980
37	6.884	138.042	79.000	181.605	29.249	84.205
38	7.957	140.159	79.667	209.580	-63.242	97.365
39	7.517	139.939	88.000	191.146	27.929	92.024
40	6.237	135.084	89.375	210.176	-61.873	76.365
41	6.551	154.653	81.632	193.979	-60.537	80.163
42	5.704	152.875	82.541	223.047	-61.726	69.796
43	2.905	162.237	115.387	197.329	173.660	35.482
44	17.046	148.888	0.000	210.000	0.000	208.735
45	17.046	148.888	0.000	210.000	0.000	208.735
46	7.304	137.891	78.667	193.136	-55.265	89.401
47	7.903	137.871	85.345	197.683	35.420	96.766
48	8.023	139.125	76.954	195.165	-54.645	98.189
49	5.864	131.957	83.844	161.463	36.674	71.756
50	6.791	153.573	75.701	222.183	35.891	83.131
51	5.931	150.511	79.833	213.744	-144.058	72.597
52	3.085	160.336	109.381	189.384	84.030	37.674
53	17.060	149.258	91.000	200.667	0.000	208.980
54	17.060	149.258	91.000	200.667	0.000	208.980
55	7.630	112.247	75.663	161.428	92.104	93.369
56	8.077	116.434	77.757	158.025	2.983	98.828
57	7.610	113.209	78.759	160.235	-87.288	93.166
58	6.011	113.424	82.379	153.787	2.481	73.538
59	6.910	125.036	63.555	165.466	2.158	84.550
60	5.831	122.766	65.276	160.262	2.558	71.336
61	3.012	131.950	76.105	158.932	-53.664	36.785
62	17.060	126.442	80.000	155.667	0.000	208.980
63	17.060	126.442	80.000	155.667	0.000	208.980
64	6.677	111.047	78.267	168.561	-81.384	81.739
65	8.283	112.736	82.000	158.221	9.030	101.420
66	7.344	113.355	77.661	168.292	98.616	89.913
67	6.631	105.370	74.301	140.413	7.983	81.113
68	6.857	125.469	67.097	167.204	9.407	83.904
69	5.751	130.987	74.899	176.490	9.823	70.337
70	2.992	133.376	75.122	151.940	62.920	36.582
71	17.046	122.869	0.000	159.333	0.000	208.735
72	17.046	122.869	0.000	159.333	0.000	208.735
73	7.104	170.418	77.000	218.441	0.161	86.939
74	8.783	168.857	73.667	214.671	-89.608	107.513
75	7.743	171.283	81.323	237.938	0.444	94.778
76	7.064	164.070	69.667	213.932	-91.298	86.471
77	6.711	173.144	74.000	234.605	87.778	82.103
78	5.544	177.211	82.710	249.906	-90.414	67.839
79	3.212	211.080	146.426	236.446	-35.870	39.288
80	17.033	183.312	0.000	230.521	-37.381	208.547
81	17.033	183.312	0.000	230.521	-37.381	208.547
