 	Area	Mean	Min	Max	Angle	Length
1	7.370	161.314	74.030	233.607	66.148	90.238
2	6.824	156.395	83.151	214.740	-25.362	83.474
3	7.537	160.984	78.667	230.615	-113.298	92.258
4	7.250	158.573	82.539	212.871	-27.272	88.719
5	1.766	118.509	76.183	172.168	-21.318	21.557
6	4.072	166.004	81.947	194.131	-23.162	49.811
7	1.559	170.836	141.133	200.596	62.447	19.060
8	0.946	159.042	148.000	168.893	-116.565	11.500
9	0.300	156.683	82.667	202.475	61.699	3.616
10	6.524	152.736	74.973	207.808	97.757	79.833
11	6.624	162.798	80.279	219.458	7.640	81.046
12	6.724	152.418	78.341	206.784	97.696	82.292
13	6.970	149.815	77.667	209.687	8.921	85.277
14	1.806	155.776	79.235	179.855	8.310	22.027
15	3.838	155.463	110.853	194.170	9.610	46.944
16	2.052	170.042	74.848	202.348	9.554	25.083
17	1.126	164.791	158.524	169.063	-164.476	13.725
18	0.287	172.077	89.000	195.619	94.086	3.437
19	6.997	161.839	75.779	218.954	17.295	85.669
20	6.537	162.912	82.033	223.973	-76.006	80.007
21	7.357	162.608	73.000	218.436	17.400	90.082
22	7.130	158.172	76.817	219.379	-73.193	87.237
23	1.946	164.392	79.223	195.306	-73.244	23.785
24	3.565	163.267	118.068	202.614	-68.916	43.570
25	1.173	173.494	82.075	211.207	-157.834	14.280
26	0.813	154.938	131.145	165.006	23.385	9.872
27	0.320	155.460	80.333	184.305	-161.565	3.872
28	7.070	133.242	78.045	170.368	-76.082	86.541
29	6.324	137.407	74.750	186.669	17.116	77.387
30	7.544	135.037	79.596	191.251	103.963	92.362
31	7.017	131.326	72.291	189.017	14.195	85.888
32	1.886	111.427	76.758	152.825	14.775	23.048
33	3.792	114.095	68.716	169.101	14.990	46.395
34	1.559	156.788	123.487	189.310	-75.069	19.009
35	1.213	159.851	144.000	168.020	102.426	14.796
36	0.413	142.653	72.601	172.870	-78.690	4.995
37	7.277	130.898	78.333	181.987	-47.228	89.076
38	6.737	141.688	71.265	204.870	45.241	82.429
39	7.730	132.505	81.874	194.178	-46.679	94.591
40	7.290	141.320	94.594	196.349	45.556	89.186
41	2.046	134.645	80.136	184.241	43.409	24.946
42	4.132	123.542	69.461	185.494	44.215	50.570
43	1.479	156.297	80.877	189.176	-45.000	18.010
44	1.000	158.748	149.333	166.651	133.363	12.127
45	0.360	151.607	80.591	172.086	-51.843	4.360
