 	Area	Mean	Min	Max	Angle	Length
1	59.253	131.643	58.677	253.445	1.899	179.189
2	48.579	138.987	54.072	245.934	-89.356	146.985
3	64.264	132.433	47.044	248.431	1.068	194.531
4	53.154	137.366	57.848	253.091	-89.177	160.631
5	32.241	207.329	66.781	253.046	-91.553	97.286
6	41.499	214.381	113.834	248.634	-91.055	125.432
7	4.465	126.728	104.149	146.980	74.655	54.600
8	2.666	110.060	81.769	133.398	-105.709	32.563
9	2.505	161.657	83.020	211.162	0.000	7.264
10	60.343	74.481	29.182	211.799	57.115	182.355
11	56.421	82.246	30.563	212.338	-32.616	170.774
12	71.779	80.352	28.079	199.774	56.648	217.002
13	60.125	81.679	28.116	167.766	-33.892	181.728
14	33.112	133.616	51.696	165.222	-32.486	100.102
15	45.420	137.382	78.527	193.397	-31.860	137.368
16	17.645	116.530	46.751	178.450	-48.013	53.282
17	10.565	121.228	90.914	156.000	127.349	31.686
18	2.723	170.215	136.389	198.889	48.366	7.785
19	25.160	124.007	46.096	209.804	-179.353	163.395
20	22.320	109.235	23.000	206.000	-90.000	144.923
21	29.562	129.032	42.404	211.000	-0.551	192.009
22	23.385	115.296	29.849	207.028	-90.522	151.852
23	14.154	162.120	112.474	192.298	-90.576	91.851
24	17.349	172.137	134.014	195.107	-90.704	112.624
25	7.408	149.678	101.710	212.008	-101.634	48.064
26	4.071	150.675	136.754	172.391	79.875	26.255
27	1.373	184.080	163.333	198.667	180.000	8.769
