 	Area	Mean	Min	Max	Angle	Length
1	4.272	150.876	75.767	217.237	72.555	52.256
2	4.338	144.163	81.907	193.779	-21.360	53.077
3	4.485	147.741	75.562	206.066	72.885	54.880
4	3.752	142.533	81.333	201.392	-20.759	45.848
5	1.499	152.872	81.175	173.762	-14.407	18.321
6	2.792	148.555	80.407	173.123	-18.001	34.110
7	1.986	155.050	112.342	206.801	-108.009	24.266
8	17.026	155.559	0.000	165.000	0.000	208.490
9	17.026	155.559	0.000	165.000	0.000	208.490
10	4.152	146.286	80.777	185.705	153.353	50.769
11	4.118	153.070	82.354	222.734	-115.112	50.395
12	4.325	145.802	80.614	185.938	-26.288	52.912
13	3.665	144.777	81.700	200.221	-116.145	44.833
14	1.539	144.999	77.031	162.272	65.556	18.755
15	2.632	146.389	73.071	174.747	63.891	32.127
16	2.199	161.187	138.529	187.281	-160.136	26.856
17	17.046	157.046	0.000	210.333	0.000	208.735
18	17.046	157.046	0.000	210.333	0.000	208.735
19	4.212	94.053	55.485	147.034	0.999	51.490
20	3.938	91.146	58.135	140.217	-88.641	48.124
21	4.385	93.940	54.335	145.183	1.132	53.671
22	3.658	90.987	54.517	128.667	-89.895	44.735
23	1.466	106.545	83.407	114.975	-89.737	17.851
24	2.452	100.132	76.667	110.019	91.561	29.945
25	2.299	109.110	84.041	125.273	132.296	28.122
26	17.060	105.870	76.000	127.000	0.000	208.980
27	17.060	105.870	76.000	127.000	0.000	208.980
28	4.125	156.788	77.043	222.980	-31.711	50.442
29	4.025	155.593	76.488	217.570	-126.376	49.199
30	4.232	155.757	80.465	215.202	-31.584	51.747
31	3.425	158.108	81.434	237.735	54.358	41.893
32	1.219	165.456	75.442	194.347	55.701	14.883
33	2.279	167.566	83.430	178.615	58.084	27.817
34	1.926	182.785	82.300	204.930	-63.435	23.511
35	17.046	170.340	0.000	247.455	0.000	208.749
36	17.046	170.340	0.000	247.455	0.000	208.749
37	4.072	110.691	72.190	203.374	29.045	49.793
38	4.145	108.905	63.113	179.511	-64.632	50.731
39	4.292	110.581	74.499	202.176	28.959	52.468
40	3.465	109.717	61.338	168.369	-62.843	42.351
41	1.546	112.743	73.613	127.603	-61.211	18.850
42	2.726	121.158	80.868	144.980	-61.300	33.270
43	1.699	109.075	78.600	141.872	-122.939	20.718
44	17.060	118.395	108.000	125.000	0.000	208.980
45	17.060	118.395	108.000	125.000	0.000	208.980
46	3.665	144.139	79.220	214.756	28.710	44.815
47	4.471	146.560	78.033	225.555	-63.014	54.714
48	4.138	148.188	82.789	212.914	28.965	50.618
49	3.878	143.118	82.072	216.838	-62.554	47.465
50	1.526	158.094	79.117	196.594	-58.606	18.611
51	2.606	166.705	81.745	188.398	120.182	31.848
52	2.366	178.165	132.122	213.641	-126.967	28.909
53	17.060	168.451	156.000	176.667	0.000	208.980
54	17.060	168.975	155.667	177.333	0.000	208.980
55	3.698	142.541	82.298	239.371	-36.932	45.235
56	4.372	149.373	81.780	226.666	52.501	53.489
57	4.105	144.559	79.333	244.335	-37.336	50.244
58	3.925	148.005	103.946	212.797	52.604	47.981
59	1.473	146.324	82.297	178.228	51.828	17.985
60	2.799	161.765	83.201	196.715	53.048	34.199
61	2.432	172.627	146.333	202.489	-5.507	29.740
62	17.040	169.101	0.000	194.333	0.000	208.653
63	17.040	169.101	0.000	194.333	0.000	208.653
64	4.725	178.189	73.059	241.545	6.894	57.782
65	5.091	177.491	78.577	246.081	-83.229	62.252
66	4.925	180.215	83.053	242.612	7.009	60.212
67	4.392	180.219	76.074	253.058	-83.015	53.732
68	1.659	189.383	80.759	226.328	-82.099	20.226
69	2.726	188.755	77.961	214.500	-81.691	33.326
70	2.619	213.041	151.620	236.002	-9.822	32.030
71	17.060	196.145	184.000	204.667	0.000	208.980
72	17.060	196.145	184.000	204.667	0.000	208.980
73	3.865	136.960	72.679	175.846	-106.747	47.279
74	4.385	132.384	80.047	178.398	-17.635	53.666
75	4.212	136.374	80.265	174.646	73.231	51.512
76	3.825	134.357	80.493	179.912	-16.096	46.781
77	1.493	141.974	79.375	153.797	-15.662	18.195
78	2.519	145.979	80.942	163.868	-15.589	30.739
79	2.299	157.499	133.582	177.726	-59.636	28.095
80	17.040	150.421	0.000	179.333	0.000	208.653
81	17.040	150.421	0.000	179.333	0.000	208.653
