 	Area	Mean	Min	Max	Angle	Length
1	5.904	143.781	78.758	225.648	149.003	72.281
2	5.051	140.531	85.802	221.930	-118.900	61.822
3	5.871	145.289	87.322	219.640	149.940	71.870
4	4.618	140.158	89.022	211.197	56.310	56.511
5	3.085	160.883	127.021	184.319	-117.897	37.686
6	3.878	152.779	118.633	177.503	-118.020	47.438
7	1.866	150.640	113.595	178.439	115.463	22.785
8	0.453	166.202	153.674	181.851	-69.146	5.503
9	17.060	150.070	0.000	208.333	0.000	208.898
10	5.791	158.800	97.684	251.581	130.795	70.844
11	4.951	156.701	97.593	231.252	40.903	60.591
12	5.758	163.988	88.875	235.332	-48.945	70.474
13	4.645	153.176	102.782	225.480	39.932	56.849
14	3.092	176.129	82.262	198.498	38.428	37.826
15	3.952	187.992	147.571	215.045	39.657	48.351
16	1.766	176.491	160.859	202.247	-72.801	21.534
17	0.400	172.358	161.334	180.817	104.744	4.811
18	17.060	178.469	119.667	241.667	0.000	208.980
19	5.604	172.187	99.864	245.628	35.847	68.582
20	4.705	156.527	89.155	222.217	-56.986	57.534
21	5.838	164.251	95.419	246.874	33.962	71.455
22	4.165	168.241	112.226	243.346	-55.775	50.944
23	3.199	171.355	156.916	186.184	-53.920	39.089
24	4.105	177.061	155.360	193.587	-53.130	50.204
25	1.733	178.833	155.262	198.514	-106.128	21.159
26	0.393	184.779	177.000	192.802	68.749	4.730
27	17.060	172.746	101.333	240.000	0.000	208.980
28	5.384	160.052	94.933	237.778	-70.690	65.912
29	4.345	169.953	112.168	250.669	20.772	53.170
30	5.411	164.892	99.659	222.993	-69.890	66.243
31	3.832	153.897	96.963	237.918	23.081	46.852
32	2.759	160.306	120.641	181.938	19.093	33.690
33	3.658	179.128	132.400	207.140	20.519	44.715
34	1.833	177.500	152.652	190.120	-76.724	22.394
35	0.400	186.995	169.000	195.428	104.744	4.811
36	17.060	173.746	108.333	245.667	0.000	208.980
37	5.311	161.685	85.482	248.987	5.768	64.982
38	4.845	154.013	83.127	227.958	-84.305	59.231
39	5.185	157.633	86.109	249.223	6.356	63.410
40	4.418	147.650	96.648	228.755	-85.150	54.071
41	3.232	186.813	115.966	220.910	-85.020	39.496
42	4.045	174.093	129.499	221.384	-85.833	49.437
43	1.666	175.027	111.177	206.196	-154.259	20.300
44	0.307	180.167	177.267	187.704	26.565	3.651
45	17.060	169.473	103.000	220.667	0.000	208.980
46	11.115	165.139	105.571	249.991	164.660	67.912
47	10.236	160.454	86.280	240.569	-104.690	62.569
48	10.982	158.985	87.232	231.504	-14.680	67.056
49	9.036	158.926	102.212	237.687	-103.707	55.121
50	6.717	181.617	130.888	203.963	-103.815	41.023
51	8.077	185.522	160.457	211.654	-103.761	49.313
52	3.625	183.303	140.784	216.649	-162.773	22.102
53	1.040	183.788	167.225	195.189	6.009	6.130
54	34.119	179.425	85.000	242.333	0.000	208.980
55	11.355	139.354	68.318	223.299	140.436	69.430
56	9.596	140.546	77.900	224.064	-128.784	58.679
57	11.329	140.119	71.665	214.968	-41.084	69.278
58	8.476	138.833	70.373	214.041	-131.033	51.687
59	5.864	146.992	75.228	166.604	-128.333	35.799
60	7.730	154.226	108.514	178.784	-128.101	47.121
61	3.838	148.712	119.392	162.038	162.838	23.271
62	0.800	143.420	129.104	149.897	-15.945	4.754
63	34.039	148.808	0.000	198.667	0.000	208.327
64	11.462	173.578	87.779	250.683	-137.457	70.098
65	9.196	170.035	109.100	237.021	-45.236	56.184
66	11.542	168.348	95.842	227.370	-136.219	70.516
67	8.663	179.418	99.229	247.592	-46.373	52.966
68	5.838	182.386	160.345	199.059	-47.797	35.598
69	7.144	188.488	158.609	217.740	-46.975	43.584
70	3.199	153.081	80.207	208.253	2.406	19.394
71	0.800	151.225	147.681	158.447	-174.094	4.809
72	34.119	143.697	77.667	194.000	0.000	208.980
73	10.769	173.759	109.357	250.882	49.830	65.807
74	9.596	170.498	113.884	246.034	-40.377	58.675
75	11.169	172.104	95.596	249.695	-131.405	68.173
76	8.796	169.610	109.201	237.286	-41.677	53.655
77	6.424	175.590	121.923	213.979	-42.466	39.141
78	7.943	187.552	83.402	216.675	-41.585	48.413
79	3.838	188.955	159.444	225.685	50.654	23.358
80	0.906	194.969	183.022	218.599	-133.781	5.390
81	34.119	186.061	94.000	250.333	0.000	208.980
