 	Area	Mean	Min	Max	Angle	Length
1	7.230	159.121	112.172	238.065	17.884	88.522
2	6.477	168.739	112.905	248.449	-72.741	79.241
3	7.077	160.471	107.288	214.019	-160.848	86.589
4	5.864	167.975	120.602	227.302	109.549	71.726
5	2.879	177.013	144.744	212.063	-73.836	35.187
6	4.225	178.719	151.982	206.130	-72.338	51.660
7	4.678	173.163	129.667	216.055	81.142	57.254
8	0.466	149.976	120.841	179.333	-92.490	5.638
9	17.060	183.441	0.000	242.667	0.000	208.898
10	5.724	165.719	124.370	233.217	15.689	70.038
11	5.331	172.015	127.688	230.892	103.027	65.188
12	5.691	165.074	120.338	232.348	13.287	69.619
13	5.171	171.374	119.484	232.940	-75.964	63.277
14	2.172	199.518	175.599	220.645	-75.364	26.492
15	3.265	196.483	161.979	217.280	-74.827	39.922
16	4.052	167.258	126.238	228.405	-152.083	49.518
17	0.367	156.320	137.116	176.037	31.329	4.396
18	17.060	191.032	126.000	248.667	0.000	208.980
19	5.644	174.589	113.838	245.761	-102.705	69.037
20	5.131	182.188	111.309	245.792	-12.626	62.742
21	5.651	179.439	114.873	249.147	-102.066	69.119
22	4.878	184.215	133.646	238.262	-11.125	59.652
23	2.286	200.730	170.000	217.804	-10.620	27.907
24	3.405	199.805	185.289	214.489	-10.516	41.597
25	3.059	179.926	129.093	246.276	69.664	37.348
26	0.273	182.213	144.667	205.634	-102.995	3.267
27	17.046	194.316	0.000	234.333	0.000	208.735
28	7.030	128.104	72.926	210.946	41.539	86.049
29	6.417	120.795	74.711	188.704	-47.654	78.530
30	6.917	125.010	73.318	187.368	41.950	84.626
31	5.898	117.948	71.813	164.647	-48.851	72.201
32	2.492	138.231	92.833	148.540	-50.548	30.447
33	3.652	138.120	109.000	153.860	-52.125	44.676
34	3.545	126.552	93.559	170.356	0.000	43.399
35	0.367	128.274	120.667	140.000	33.690	4.415
36	17.060	135.162	95.667	164.667	0.000	208.980
37	6.477	117.587	68.040	169.056	-24.664	79.228
38	5.444	113.747	66.952	173.165	-116.188	66.591
39	6.077	117.502	67.057	175.749	-25.974	74.369
40	5.065	113.281	67.098	170.818	62.726	61.994
41	2.532	140.078	112.032	155.795	65.669	30.909
42	3.745	138.409	111.667	157.654	-113.962	45.827
43	3.412	133.331	107.412	156.942	-3.702	41.720
44	0.513	128.856	114.333	149.020	-173.157	6.166
45	17.060	133.034	72.667	168.667	0.000	208.980
46	6.431	119.169	78.803	170.309	-78.515	78.719
47	5.231	120.579	79.200	185.046	12.600	63.990
48	5.744	116.142	72.776	191.293	-77.320	70.286
49	4.951	117.240	83.426	159.333	13.081	60.593
50	2.612	141.833	113.099	162.914	11.051	31.939
51	3.632	137.574	122.642	152.174	10.814	44.380
52	4.092	122.188	84.940	156.572	113.051	50.036
53	0.413	115.632	108.503	122.423	-69.775	4.959
54	17.060	132.319	78.333	174.000	0.000	208.980
55	6.464	104.719	73.747	190.014	65.497	79.126
56	5.384	112.442	62.137	175.757	-22.276	65.898
57	6.031	103.033	72.667	192.900	-114.098	73.777
58	4.898	111.741	73.165	168.113	-23.106	59.908
59	2.619	141.342	119.365	154.575	-21.069	32.018
60	3.698	138.723	127.553	148.071	-21.283	45.205
61	3.645	102.929	83.906	122.232	95.993	44.570
62	0.406	134.217	119.283	142.533	-92.862	4.904
63	17.046	132.547	0.000	161.333	0.000	208.735
64	5.704	142.147	75.433	217.458	-64.874	69.787
65	5.371	145.645	81.667	208.567	25.610	65.722
66	5.531	142.335	78.333	218.050	-64.733	67.702
67	4.858	142.309	73.667	210.338	24.346	59.405
68	2.546	158.953	78.580	176.171	27.170	31.106
69	3.565	160.087	65.333	177.139	26.709	43.590
70	4.198	168.493	143.333	186.363	-73.379	51.371
71	0.400	147.665	130.449	174.612	104.744	4.811
72	17.040	157.229	0.000	185.000	0.000	208.653
73	7.237	132.996	66.413	207.674	33.383	88.572
74	6.151	134.786	82.163	186.870	-52.534	75.286
75	6.884	133.660	66.094	199.366	33.736	84.224
76	5.831	136.178	85.420	187.842	-52.815	71.315
77	3.045	149.607	82.233	165.564	-54.638	37.237
78	4.265	149.792	75.667	164.127	-55.713	52.167
79	4.851	148.481	96.239	203.017	-19.573	59.361
80	0.486	137.678	121.000	145.667	175.236	5.898
81	17.060	145.930	0.000	196.000	0.000	208.898
82	7.010	112.296	69.001	184.621	-2.454	85.793
83	6.464	112.084	57.103	164.412	-96.223	79.078
84	6.611	113.034	69.460	179.974	-1.909	80.861
85	6.071	113.723	58.906	177.299	-95.485	74.299
86	3.225	117.738	82.667	135.333	-90.000	39.429
87	4.445	118.554	84.667	131.000	-90.258	54.368
88	5.078	121.728	85.404	152.079	-155.556	62.141
89	0.553	128.929	110.418	143.827	33.111	6.725
90	17.000	115.780	0.000	169.333	0.000	208.163
91	7.710	109.687	55.976	175.592	-76.649	94.388
92	6.804	110.436	59.809	174.405	15.876	83.257
93	7.364	115.475	56.667	171.997	-76.002	90.104
94	6.224	110.747	60.868	181.504	15.287	76.164
95	3.272	121.990	94.386	137.133	13.441	40.035
96	4.565	122.908	108.851	136.599	13.183	55.839
97	5.291	119.359	88.903	163.077	119.476	64.701
98	0.600	131.195	110.397	159.333	-61.699	7.232
99	17.060	120.520	76.333	155.333	0.000	208.980
100	6.997	99.172	55.141	172.477	29.643	85.660
101	5.851	100.613	60.252	169.991	-60.279	71.626
102	6.657	98.679	54.049	173.135	29.339	81.470
103	5.351	100.924	60.813	156.882	-60.654	65.462
104	2.332	115.868	81.252	126.558	-58.360	28.478
105	3.512	120.444	82.722	129.487	-62.120	42.944
106	3.312	120.612	82.721	156.298	9.405	40.462
107	0.493	132.507	121.667	143.571	-170.538	5.959
108	17.040	113.491	0.000	170.333	0.000	208.653
109	7.104	155.351	93.452	232.835	41.231	86.946
110	6.184	159.939	106.987	209.105	-46.442	75.699
111	6.731	157.430	103.973	223.282	41.987	82.369
112	5.864	159.509	102.445	224.898	-47.766	71.776
113	3.139	175.263	130.739	193.007	-48.366	38.337
114	4.338	174.064	142.469	194.398	-47.993	53.062
115	3.992	171.534	128.076	195.914	-98.659	48.801
116	0.367	143.284	126.296	164.222	83.660	4.435
117	17.060	166.766	130.333	195.000	0.000	208.980
118	7.237	149.886	81.361	218.282	-21.743	88.588
119	6.824	153.128	79.806	203.582	68.854	83.500
120	6.724	148.933	78.468	215.495	-21.833	82.312
121	6.204	153.296	83.014	201.815	68.816	75.905
122	2.959	172.165	79.667	180.433	-109.784	36.176
123	4.165	172.654	81.835	179.904	68.864	50.937
124	5.611	178.562	123.303	202.284	-165.121	68.670
125	0.666	172.345	136.333	189.799	14.036	8.078
126	17.040	164.673	0.000	228.333	0.000	208.653
