 	Area	Mean	Min	Max	Angle	Length
1	2.149	252.317	0.000	255.000	-90.158	68.302
2	1.591	250.577	0.000	255.000	-0.214	50.566
3	2.190	250.657	0.000	255.000	-89.379	69.627
4	1.514	254.363	0.008	255.000	0.225	48.114
5	0.772	226.012	0.000	255.000	0.441	24.529
6	1.200	243.860	0.000	255.000	0.000	38.113
7	0.902	249.394	0.000	255.000	-78.986	28.641
8	0.231	156.307	0.000	255.000	101.889	7.327
9	0.090	212.220	0.000	255.000	-90.000	2.830
10	5.581	128.432	48.366	194.439	-83.725	69.981
11	4.133	131.691	74.036	193.459	7.158	51.798
12	5.657	127.246	49.198	192.239	-83.809	70.932
13	3.886	130.741	63.370	191.564	7.334	48.685
14	2.025	171.576	99.321	196.589	7.595	25.322
15	3.098	166.272	89.524	201.714	7.081	38.782
16	2.336	161.224	117.667	183.878	-95.152	29.282
17	0.521	144.292	125.654	160.802	85.764	6.472
18	0.260	186.892	162.967	199.508	-88.568	3.188
19	5.486	157.204	95.693	210.086	-175.611	68.727
20	4.032	151.952	91.423	196.501	-86.017	50.480
21	5.600	156.562	83.534	200.398	4.947	70.222
22	3.651	151.474	87.188	194.968	-85.601	45.712
23	2.044	178.641	152.667	191.288	-85.355	25.582
24	3.359	163.292	128.590	181.157	-85.435	42.046
25	2.171	161.090	123.701	180.848	-165.719	27.133
26	0.438	142.100	126.667	159.484	13.627	5.411
27	0.248	146.838	131.333	176.000	0.000	3.028
28	5.492	138.922	70.331	217.720	-117.870	68.864
29	4.171	137.575	54.285	198.537	-30.005	52.263
30	5.422	139.133	70.445	210.335	-117.646	68.003
31	3.790	135.226	60.500	197.012	-28.887	47.504
32	2.095	133.796	86.239	190.392	-27.499	26.231
33	3.295	138.248	81.892	197.817	-27.851	41.275
34	2.216	165.317	114.844	197.661	-109.111	27.744
35	0.476	149.700	136.586	166.000	75.964	5.914
36	0.229	179.454	144.917	194.467	70.017	2.823
37	5.549	156.583	82.849	206.626	-170.311	69.598
38	4.184	152.876	78.631	200.627	-79.765	52.468
39	5.416	149.829	72.183	202.946	-170.471	67.869
40	3.752	154.537	94.367	214.755	-82.405	47.026
41	2.076	157.136	62.597	195.239	-80.451	25.937
42	3.378	144.842	93.640	210.492	-79.579	42.291
43	2.159	168.198	127.887	195.282	-163.009	26.995
44	0.451	153.116	125.791	177.965	19.983	5.596
45	0.203	179.875	171.333	186.000	0.000	2.470
