 	Area	Mean	Min	Max	Angle	Length
1	4.085	131.973	86.242	254.562	65.610	49.976
2	3.818	132.448	91.038	252.667	-23.199	46.663
3	4.305	132.988	75.062	254.292	65.064	52.689
4	3.472	132.306	83.860	252.258	-23.705	42.449
5	2.632	140.464	121.478	253.333	-21.801	32.137
6	3.345	143.892	126.066	251.815	-20.529	40.918
7	1.779	156.420	109.213	173.252	-59.666	21.710
8	0.413	150.319	143.232	168.037	121.608	4.984
9	17.060	144.974	75.333	205.000	0.000	208.980
10	4.525	110.100	74.128	254.836	-61.997	55.312
11	4.078	114.146	68.254	254.890	30.256	49.899
12	4.725	110.724	70.530	254.757	-62.313	57.791
13	3.778	113.251	68.108	254.540	30.912	46.181
14	2.639	112.690	71.721	149.823	32.482	32.248
15	3.399	117.322	80.208	254.667	30.597	41.572
16	1.679	119.101	80.667	253.929	-70.408	20.449
17	0.380	111.011	100.111	120.000	106.504	4.545
18	17.060	116.768	0.000	193.667	0.000	208.898
19	4.225	111.881	76.625	254.481	-96.990	51.653
20	3.705	106.923	60.516	254.366	-7.882	45.271
21	4.505	112.394	71.861	254.644	82.843	55.068
22	3.412	103.460	63.008	253.481	-7.306	41.703
23	2.732	114.378	95.390	253.698	-6.185	33.391
24	3.425	114.676	96.579	254.422	-5.366	41.871
25	1.646	120.861	99.484	137.649	-57.600	20.110
26	0.420	127.685	120.000	135.658	127.235	5.050
27	17.060	115.765	63.667	169.000	0.000	208.980
28	4.352	128.657	76.802	254.075	-31.717	53.223
29	3.992	131.620	77.378	253.462	-124.222	48.815
30	4.505	128.008	83.676	254.356	-32.465	55.105
31	3.539	129.980	89.862	249.187	-123.930	43.290
32	2.699	134.573	96.722	255.000	-122.667	32.941
33	3.372	142.300	99.240	254.680	-121.801	41.258
34	1.506	136.145	90.707	152.930	-54.197	18.397
35	0.533	136.089	128.815	140.000	-49.635	6.411
36	17.040	135.187	77.333	183.000	0.000	208.653
37	4.358	145.900	68.220	253.674	-61.158	53.293
38	3.345	143.000	91.609	220.997	-150.823	40.881
39	4.498	143.615	81.196	254.402	-61.077	55.048
40	3.005	133.526	90.510	244.667	-154.630	36.758
41	2.572	135.587	82.932	254.760	27.031	31.397
42	3.085	140.483	69.485	248.160	-153.490	37.724
43	1.633	174.065	134.775	254.299	145.008	19.929
44	0.493	161.293	150.082	175.729	-30.828	5.955
45	17.060	152.111	75.667	203.333	0.000	208.980
46	4.851	137.876	79.301	183.080	22.723	59.370
47	4.078	130.595	80.099	174.439	-65.447	49.877
48	4.991	139.401	81.012	183.254	22.826	61.070
49	3.705	131.556	82.271	176.654	-65.283	45.293
50	2.999	153.403	80.703	166.967	-68.222	36.684
51	3.705	146.782	79.777	161.274	-68.333	45.335
52	1.579	157.843	142.190	168.310	30.797	19.283
53	0.413	155.534	149.954	159.875	-142.374	4.964
54	17.046	156.340	0.000	162.333	0.000	208.735
