 	Area	Mean	Min	Max	Angle	Length
1	4.465	181.342	78.543	253.938	-84.511	54.618
2	3.792	169.295	93.407	248.707	8.501	46.387
3	4.931	181.451	82.047	253.943	-84.876	60.323
4	3.225	167.944	81.606	252.708	6.419	39.431
5	2.492	189.963	78.351	208.992	6.170	30.434
6	3.325	192.247	81.345	232.872	7.025	40.690
7	1.546	224.556	184.171	241.909	-115.122	18.845
8	0.353	214.754	205.148	226.333	52.028	4.267
9	0.933	191.690	84.111	208.456	-54.703	11.324
10	5.364	184.818	81.563	252.815	-154.009	65.619
11	4.265	182.880	75.971	252.179	-64.837	52.196
12	5.778	186.496	80.784	248.899	-154.471	70.689
13	3.825	180.896	82.667	249.336	-64.644	46.739
14	2.692	182.122	78.317	208.729	-66.876	32.871
15	3.532	198.907	84.050	239.892	-65.467	43.202
16	1.679	195.671	151.944	220.046	-116.259	20.493
17	0.453	181.093	153.889	195.417	56.547	5.494
18	0.726	209.336	85.642	240.063	-128.991	8.822
19	4.831	175.641	101.413	232.384	-110.538	59.103
20	4.418	174.422	78.610	235.829	-23.312	54.045
21	5.444	176.196	83.451	230.491	-110.523	66.594
22	3.905	172.439	82	218.439	-23.585	47.743
23	2.925	168.772	80	187.797	-21.169	35.716
24	3.898	203.869	169.575	237.027	-20.854	47.696
25	1.806	189.990	148.667	219.633	-135.900	22.053
26	0.486	170.197	148.500	197.667	41.634	5.898
27	0.953	193.918	78.333	232	-90	11.592
28	4.778	187.789	76.967	252.680	111.474	58.423
29	4.405	186.467	79.917	245.710	19.479	53.858
30	5.464	188.255	80	246.199	111.490	66.851
31	4.085	189.059	79.789	247.676	19.679	49.937
32	2.686	192.181	82.447	211.380	20.056	32.849
33	3.718	196.973	165.256	240.533	19.930	45.501
34	1.739	174.744	138.118	205.667	150.474	21.202
35	0.387	178.139	146	192.561	-24.775	4.675
36	1.046	193.809	84	229.667	122.471	12.772
37	5.164	141.702	80.030	200.291	-155.090	63.184
38	4.252	139.915	80.536	188.851	-65.124	52.009
39	5.631	141.379	82.531	189.349	-154.589	68.866
40	3.725	138.368	73.358	185.634	-66.559	45.556
41	2.699	138.178	71.667	169.320	-66.988	32.993
42	3.818	149.769	129.584	186.333	-65.407	46.684
43	1.799	161.438	143.009	171.114	-130.786	21.994
44	0.466	151.054	145.333	155.333	54.462	5.618
45	1.140	148.502	82.909	190.089	-131.186	13.884
46	5.085	154.425	81.561	193.657	-54.934	62.235
47	4.178	154.914	74.703	197.548	33.131	51.080
48	5.764	152.911	72.441	193.688	-55.280	70.515
49	3.665	154.925	79	201.617	33.864	44.829
50	2.759	161.576	81.166	178.333	34.537	33.693
51	3.479	161.989	129	196.011	34.361	42.522
52	1.826	168.952	137.429	192.587	-81.158	22.306
53	0.526	175.564	166.333	191.333	87.064	6.376
54	0.853	159.526	81.333	180.739	-45	10.390
55	5.258	156.892	81.361	206.528	-9.199	64.338
56	4.198	158.735	80.696	210.043	-98.414	51.328
57	5.744	157.793	78.638	194.963	-9.090	70.270
58	3.858	149.727	80	204.234	-99.364	47.159
59	2.872	161.245	76.265	174.967	80.625	35.081
60	3.852	158.752	83.327	196.243	80.015	47.080
61	1.906	173.549	142.667	180.964	-20.086	23.294
62	0.387	151.829	142.340	161.333	147.995	4.621
63	0.880	174.464	89	190.481	7.883	10.713
64	5.384	145.615	79.436	197.968	87.017	65.885
65	4.312	142.119	74.802	195.241	0.532	52.737
66	5.838	147.870	75.802	204.150	87.510	71.414
67	3.778	141.100	74.861	184.683	-0.810	46.209
68	2.512	165.879	76.135	194.319	-0.610	30.696
69	3.445	166.440	76.661	194.996	-1.554	42.138
70	1.873	170.447	156.540	184.602	121.875	22.879
71	0.500	177.764	165.265	187.297	-53.746	6.074
72	0.740	159.417	81.667	190.333	90	8.980
