 	Area	Mean	Min	Max	Angle	Length
1	53.263	113.801	48.041	223.718	59.439	160.975
2	45.203	114.713	44.996	233.404	-30.276	136.678
3	55.441	115.732	50.315	234.018	59.403	167.691
4	47.490	119.736	46.065	227.434	-31.167	143.539
5	25.488	159.897	114.506	212.302	-32.057	76.917
6	30.934	159.691	61.120	238.149	-32.177	93.523
7	38.340	129.677	58.993	232.087	-87.716	115.815
8	4.793	169.273	145.336	209.274	90.000	14.081
9	1.961	90.997	58.285	150.667	40.236	5.550
10	10.469	125.082	66.540	186.335	11.353	128.140
11	9.150	116.553	76.499	171.310	-75.690	111.964
12	11.935	127.094	72.645	187.202	11.310	146.103
13	9.583	114.044	79.796	167.170	-79.417	117.343
14	4.651	142.105	88.000	182.841	-77.819	56.872
15	5.764	141.980	84.547	165.062	-77.363	70.525
16	26.032	227.620	123.148	253.741	-142.696	78.506
17	3.485	170.837	135.899	192.314	24.146	10.343
18	2.396	153.024	118.988	188.333	22.834	6.892
19	9.916	100.855	61.139	162.214	10.811	121.420
20	8.337	100.816	60.732	138.938	97.586	102.036
21	11.309	100.707	46.638	149.172	10.912	138.421
22	8.956	104.684	49.474	153.673	-82.684	109.627
23	5.038	111.815	82.825	128.772	-79.003	61.621
24	5.898	113.072	83.891	117.609	-78.843	72.139
25	22.438	177.330	77.304	248.999	-150.673	67.681
26	3.159	165.387	152.095	181.751	24.775	9.159
27	1.525	177.397	166.160	191.667	-167.005	4.403
28	13.001	114.348	68.906	181.422	0.088	159.184
29	11.462	114.228	69.136	182.237	-88.900	140.352
30	13.821	114.836	72.783	175.459	179.917	169.225
31	12.008	120.374	82.601	160.842	-87.805	147.047
32	6.584	127.479	82.667	148.333	90.000	80.571
33	7.903	127.545	81.333	158.515	-90.145	96.735
34	9.803	124.660	83.137	164.000	-34.858	119.976
35	1.000	132.924	119.210	153.574	149.826	12.181
36	0.520	115.702	85.719	139.190	13.496	6.296
37	50.213	91.857	31.781	247.700	12.043	151.857
38	45.747	88.853	42.333	200.351	-76.462	138.162
39	54.788	98.140	43.803	226.846	11.019	165.762
40	47.599	92.464	48.637	204.384	-76.059	143.841
41	26.141	160.484	75.256	197.333	102.581	78.789
42	32.568	160.091	35.287	209.793	-80.917	98.262
43	38.558	132.801	54.061	219.991	-4.386	116.513
44	2.723	100.944	59.111	157.333	170.538	8.030
45	1.743	112.458	83.833	155.500	0.000	4.950
46	10.116	113.654	67.069	174.221	-175.462	123.817
47	8.043	115.350	68.979	166.110	-84.431	98.424
48	10.882	114.071	64.390	170.775	4.746	133.191
49	8.670	120.562	68.139	202.885	-85.500	106.123
50	4.911	122.957	58.590	147.850	97.965	60.090
51	5.731	123.500	91.687	129.486	-84.389	70.132
52	5.418	125.851	74.815	145.572	0.000	66.370
53	0.600	110.213	94.927	129.333	-160.346	7.281
54	0.720	128.449	106.033	148.897	3.778	8.724
55	11.062	86.848	42.872	140.875	15.092	135.447
56	8.616	90.212	47.823	155.186	-76.157	105.429
57	11.802	89.237	46.673	134.362	14.225	144.512
58	9.023	89.035	49.695	189.848	-76.272	110.420
59	4.831	101.385	72.045	129.141	106.108	59.138
60	5.844	101.710	72.241	122.583	-74.917	71.525
61	6.517	94.132	58.463	120.806	76.689	79.776
62	0.880	103.913	88.782	118.256	-105.945	10.697
63	0.573	94.226	74.587	110.819	22.932	6.914
64	9.683	156.466	97.934	248.264	-0.474	118.535
65	9.376	131.079	78.000	225.653	86.942	114.776
66	10.962	160.508	107.910	252.869	-1.254	134.236
67	9.110	140.389	86.335	244.551	88.363	111.474
68	5.304	173.466	118.508	227.291	89.135	64.905
69	6.164	171.894	106.333	210.667	-90.558	75.432
70	30.825	165.512	64.000	223.016	-35.325	93.037
71	2.505	110.239	61.485	170.333	149.931	7.246
72	1.743	127.538	97.333	147.833	-11.310	5.019
73	8.876	156.091	83.775	247.410	136.918	108.638
74	8.050	153.087	87.665	213.730	45.705	98.541
75	9.529	157.806	88.939	244.855	-42.533	116.651
76	7.857	146.536	84.745	222.983	46.342	96.135
77	4.545	169.535	91.259	222.702	-133.394	55.609
78	5.498	172.885	129.322	207.909	47.361	67.247
79	26.141	141.999	50.931	242.202	164.219	78.881
80	1.961	130.743	82.333	163.667	-28.072	5.611
81	1.198	151.503	141.970	172.037	135.000	3.271
82	9.116	136.515	87.263	197.177	177.106	111.571
83	8.070	128.736	75.374	201.743	-91.848	98.745
84	9.749	137.452	85.027	223.878	-2.587	119.387
85	8.177	138.912	73.565	234.035	-93.646	100.121
86	4.778	153.489	79.000	198.231	-94.086	58.434
87	5.651	154.005	103.082	187.882	-93.045	69.159
88	27.122	137.821	59.032	251.536	-29.257	81.764
89	2.070	145.994	87.444	179.259	149.036	5.813
90	1.307	101.724	78.308	150.704	-4.764	3.755
