 	Area	Mean	Min	Max	Angle	Length
1	7.843	132.306	75.804	254.988	4.096	96.000
2	5.158	134.067	82.372	205.454	-85.994	63.093
3	8.283	132.202	76.459	254.667	-175.983	101.392
4	4.725	136.380	78.149	253.000	-85.135	57.759
5	3.812	144.576	110.670	184.657	-86.687	46.609
6	3.812	144.576	110.670	184.657	-86.687	46.609
7	4.758	158.519	139.186	172.272	152.140	58.171
8	17.046	141.533	0.000	212.333	0.000	208.735
9	0.320	167.657	136.333	190.004	9.660	3.856
10	7.584	144.379	88.783	253.239	-39.109	92.789
11	5.171	138.741	72.097	251.667	47.980	63.292
12	8.143	142.461	77.795	247.549	140.285	99.649
13	4.811	133.410	88.157	253.972	50.744	58.827
14	3.645	151.518	121.473	174.302	50.799	44.559
15	3.645	151.518	121.473	174.302	50.799	44.559
16	4.685	162.212	115.452	190.959	-70.791	57.313
17	17.040	154.284	0.000	204.333	0.000	208.653
18	0.233	177.945	128.918	254.667	-47.386	2.773
19	7.823	144.496	79.161	253.013	3.960	95.739
20	5.418	147.941	88.919	254.667	-85.975	66.286
21	8.330	145.343	79.299	253.998	4.409	101.934
22	4.991	156.837	94.747	253.812	-86.782	61.076
23	3.772	154.481	111.451	192.772	-86.955	46.106
24	3.772	154.481	111.451	192.772	-86.955	46.106
25	4.971	156.916	136.964	173.751	-133.531	60.802
26	17.060	152.651	86.000	201.667	0.000	208.980
27	0.247	183.892	148.111	252.833	9.462	2.979
28	7.830	146.847	86.395	254.667	8.379	95.798
29	5.451	149.115	86.525	254.333	99.082	66.714
30	8.357	148.924	79.810	254.491	8.673	102.313
31	4.718	147.422	88.969	212.388	100.022	57.697
32	3.845	152.106	124.288	174.021	-80.096	46.986
33	3.845	152.106	124.288	174.021	-80.096	46.986
34	4.671	162.627	149.346	179.505	46.736	57.172
35	17.060	152.132	71.000	194.000	0.000	208.980
36	0.213	174.810	156.108	253.667	-168.690	2.497
37	7.670	145.981	101.983	254.490	-15.124	93.863
38	5.131	141.370	78.842	219.474	72.060	62.809
39	8.210	146.151	99.573	206.960	-15.255	100.522
40	4.891	133.850	90.577	252.667	72.604	59.796
41	3.638	153.327	115.669	189.008	73.361	44.474
42	3.638	153.327	115.669	189.008	73.361	44.474
43	4.625	159.046	127.478	182.306	-73.134	56.555
44	17.060	152.294	65.333	254.667	0.000	208.980
45	0.260	174.380	149.000	184.640	141.340	3.136
46	7.004	142.231	75.667	254.667	0.000	85.714
47	4.465	137.786	79.486	253.667	-91.028	54.621
48	7.524	143.132	77.550	255.000	179.543	92.085
49	4.185	131.522	84.748	215.439	-91.370	51.198
50	3.432	158.177	127.130	186.129	-92.679	41.923
51	3.432	158.177	127.130	186.129	-92.679	41.923
52	3.872	160.458	139.126	188.758	-127.225	47.364
53	17.046	150.975	0.000	210.333	0.000	208.735
54	0.227	152.069	144.667	164.667	0.000	2.694
55	7.897	140.592	81.984	207.094	-93.051	96.627
56	5.185	138.461	75.147	251.251	-0.885	63.436
57	8.556	143.534	79.053	227.377	-93.484	104.765
58	4.765	141.253	75.471	221.098	0.241	58.286
59	3.685	149.562	120.074	199.493	-0.934	45.067
60	3.685	149.562	120.074	199.493	-0.934	45.067
61	4.585	153.049	101.395	178.551	28.131	56.096
62	17.026	152.507	0.000	231.333	0.000	208.490
63	0.267	174.519	148.051	195.667	-94.399	3.193
64	7.017	146.938	73.863	209.866	31.832	85.899
65	4.831	141.378	80.149	209.856	-59.077	59.094
66	7.510	145.579	76.920	220.500	31.487	91.899
67	4.458	146.269	81.333	210.909	-59.521	54.560
68	3.419	157.439	145.365	169.104	-58.173	41.794
69	3.419	157.439	145.365	169.104	-58.173	41.794
70	4.245	158.700	131.333	173.994	95.415	51.905
71	17.046	149.745	0.000	217.667	0.000	208.735
72	0.247	147.413	80.000	175.000	-131.634	2.949
73	7.510	109.839	67.134	186.437	-2.901	91.955
74	5.511	111.282	67.739	196.414	-93.122	67.447
75	8.430	110.133	67.085	201.282	-2.584	103.207
76	5.191	110.643	63.580	236.743	-92.873	63.508
77	3.772	126.481	75.838	160.676	-92.437	46.082
78	3.772	126.481	75.838	160.676	-92.437	46.082
79	4.845	132.036	98.586	156.953	65.341	59.284
80	17.046	118.772	0.000	196.000	0.000	208.735
81	0.247	85.919	74.667	122.000	0.000	2.939
82	7.723	175.782	74.151	251.915	-90.742	94.539
83	5.364	176.970	74.152	245.791	-0.428	65.634
84	8.383	177.677	75.467	254.802	-90.957	102.627
85	4.945	180.489	70.707	249.267	-1.392	60.508
86	3.665	187.620	129.120	252.667	0.939	44.822
87	3.665	187.620	129.120	252.667	0.939	44.822
88	4.711	228.717	169.237	251.969	-153.762	57.609
89	17.060	196.831	116.667	254.667	0.000	208.980
90	0.307	173.694	76.022	200.642	-84.920	3.690
