 	Area	Mean	Min	Max	Angle	Length
1	6.904	143.860	87.993	217.909	41.123	84.527
2	5.731	140.018	90.900	200.264	-48.965	70.128
3	7.204	143.528	88.869	225.087	-138.829	88.167
4	5.944	141.338	77.162	213.928	-48.959	72.731
5	3.532	142.362	80.258	189.046	-48.906	43.219
6	4.865	131.905	41.692	174.285	-48.836	59.530
7	2.012	145.885	89.742	198.889	-126.069	24.541
8	0.380	124.570	108.458	210.333	25.201	4.601
9	0.320	150.635	143.696	155.722	45.000	3.810
10	6.404	137.902	90.449	191.878	-165.703	78.345
11	5.984	137.447	84.741	214.342	-75.871	73.236
12	7.217	140.700	99.115	199.093	13.304	88.330
13	6.217	137.426	87.608	206.393	-78.111	76.081
14	3.592	125.855	56.556	178.244	-75.809	43.954
15	5.051	160.741	129.587	191.513	-76.019	61.832
16	2.159	170.211	121.333	190.684	48.013	26.358
17	0.320	168.160	149.667	179.622	-145.305	3.872
18	0.247	154.142	149.000	161.556	-155.556	2.959
19	6.751	144.811	90.774	239.842	33.266	82.596
20	5.778	141.894	106.872	201.194	123.415	70.708
21	7.284	140.986	75.542	209.751	-147.794	89.144
22	5.964	138.982	85.303	198.348	-56.630	73.018
23	3.459	155.157	130.631	194.120	-57.783	42.262
24	4.825	150.879	113.760	179.012	-57.365	59.035
25	1.973	141.777	101.556	172.000	64.737	24.101
26	0.367	131.705	112.037	172.000	-109.440	4.415
27	0.300	151.139	147.519	155.609	-151.699	3.616
28	6.231	134.661	87.718	196.182	146.259	76.277
29	5.918	142.421	94.895	223.364	-122.293	72.427
30	7.224	138.184	85.307	195.359	-33.822	88.435
31	6.244	138.300	80.521	220.939	56.106	76.413
32	3.652	142.479	62.060	206.509	-123.603	44.693
33	5.058	138.354	60.961	171.770	55.807	61.880
34	2.079	159.322	88.857	190.179	-77.171	25.368
35	0.347	178.910	155.333	197.000	0.000	4.163
36	0.313	161.983	155.641	171.032	-31.608	3.738
37	6.711	182.134	126.403	237.516	-41.009	82.108
38	5.664	187.928	131.726	245.467	-128.976	69.304
39	7.250	190.438	107.325	254.662	-39.401	88.740
40	5.878	192.783	124.151	254.456	-130.580	71.906
41	3.439	158.874	84.094	215.641	-129.806	42.080
42	4.871	200.946	119.700	247.781	-130.167	59.609
43	1.753	179.960	146.151	201.853	-79.461	21.423
44	0.253	167.341	161.667	185.333	104.036	3.029
45	0.287	181.836	167.000	195.048	-30.256	3.402
46	6.850	178.924	129.622	242.022	-87.321	83.847
47	5.804	182.049	112.418	232.876	1.580	71.047
48	7.470	179.429	112.852	244.000	91.996	91.402
49	5.964	181.958	83.000	250.324	1.538	73.006
50	3.565	197.275	157.498	218.067	1.287	43.603
51	4.925	187.235	99.228	227.195	1.863	60.277
52	2.792	191.477	138.608	229.322	-14.136	34.094
53	0.513	181.687	157.393	195.927	161.565	6.195
54	0.373	225.411	207.533	239.673	-80.538	4.469
55	6.584	177.911	110.006	245.311	-16.783	80.575
56	5.631	198.576	147.051	255.000	-103.987	68.900
57	7.364	183.661	113.049	253.514	-15.282	90.126
58	6.057	188.696	119.544	245.476	-102.980	74.139
59	3.525	166.079	88.000	226.360	-105.141	43.130
60	4.898	200.892	156.028	226.471	-105.399	59.948
61	2.539	210.416	184.295	240.747	-162.997	30.987
62	0.500	220.890	200.000	237.515	11.768	6.004
63	0.320	217.416	209.667	222.210	-18.435	3.872
64	6.624	184.183	106.154	250.668	-88.442	81.091
65	5.491	190.974	147.963	245.354	-177.492	67.166
66	7.190	183.884	116.156	242.703	-88.245	87.960
67	5.704	188.297	127.860	246.393	1.809	69.831
68	3.432	205.221	174.216	227.469	2.679	41.923
69	4.791	197.635	101.779	243.372	2.396	58.582
70	2.399	193.828	155.463	242.671	-66.864	29.295
71	0.613	186.427	170.672	205.315	-99.462	7.448
72	0.406	220.817	197.400	232.000	-84.289	4.922
