 	Area	Mean	Min	Max	Angle	Length
1	7.677	144.872	97.497	254.659	-5.384	93.966
2	5.711	139.590	79.288	243.000	-95.431	69.865
3	8.137	145.474	96.074	254.419	-5.080	99.575
4	4.925	139.343	82.743	255.000	-95.131	60.241
5	4.345	158.361	152.598	253.813	-95.816	53.172
6	4.345	158.361	152.598	253.813	-95.816	53.172
7	3.758	136.676	92.948	219.028	126.992	45.992
8	17.060	153.706	67.667	245.000	0.000	208.980
9	0.347	175.282	159.333	253.667	0.000	4.163
10	7.490	152.403	81.168	254.641	-47.706	91.709
11	5.298	146.712	83.547	253.455	43.775	64.780
12	7.977	152.243	80.262	199.783	131.848	97.642
13	4.958	147.211	95.509	253.836	42.709	60.658
14	4.212	152.576	144.067	254.693	42.109	51.497
15	4.212	152.576	144.067	254.693	42.109	51.497
16	3.205	155.234	133.133	171.667	-79.182	39.145
17	17.046	152.442	0.000	213.333	0.000	208.735
18	0.320	173.338	145.571	254.667	129.806	3.825
19	8.037	136.526	90.170	253.290	-104.417	98.363
20	5.944	143.253	102.601	253.929	-14.832	72.708
21	8.397	137.036	88.795	254.667	-104.632	102.761
22	5.384	133.620	85.092	254.836	-14.863	65.878
23	4.445	153.010	145.561	254.229	-13.285	54.352
24	4.445	153.010	145.561	254.229	-13.285	54.352
25	3.532	148.719	120.995	199.593	-152.272	43.160
26	17.060	150.401	95.000	200.667	0.000	208.980
27	0.293	124.398	108.977	139.353	-102.095	3.506
28	8.237	148.114	95.742	255.000	38.095	100.823
29	6.257	139.811	83.519	250.504	127.200	76.556
30	8.643	148.236	95.194	252.941	37.666	105.806
31	5.638	152.554	85.990	251.892	127.358	69.015
32	4.631	153.900	132.892	252.959	126.919	56.669
33	4.631	153.900	132.892	252.959	126.919	56.669
34	3.852	162.714	124.097	205.545	-10.784	47.118
35	17.060	151.495	76.333	217.000	0.000	208.980
36	0.260	149.460	123.462	253.667	-135.000	3.117
37	7.830	133.247	77.712	227.864	6.308	95.846
38	5.418	133.758	64.879	197.828	-83.636	66.286
39	8.223	133.903	76.088	229.436	5.863	100.690
40	4.958	139.270	77.461	203.823	-83.506	60.634
41	4.438	148.049	79.344	154.818	-83.260	54.252
42	4.438	148.049	79.344	154.818	-83.260	54.252
43	3.712	158.686	122.568	188.413	-39.529	45.404
44	17.060	144.301	70.667	218.667	0.000	208.980
45	0.327	140.964	76.000	167.667	-172.875	3.949
46	7.224	131.551	70.308	218.576	-98.601	88.423
47	5.791	126.755	75.172	222.335	-9.951	70.862
48	7.750	132.620	74.766	219.363	81.389	94.865
49	4.998	130.592	82.114	226.411	-9.689	61.117
50	4.418	142.208	129.555	148.269	-8.865	54.033
51	4.418	142.208	129.555	148.269	-8.865	54.033
52	3.145	141.722	78.261	196.502	-152.292	38.450
53	17.046	142.368	0.000	193.667	0.000	208.735
54	0.413	151.999	124.924	179.080	-98.531	4.953
55	6.977	144.828	77.949	218.333	-130.815	85.427
56	5.751	145.437	94.144	232.333	-40.342	70.366
57	7.670	150.138	78.301	237.626	48.491	93.859
58	4.845	149.132	87.631	248.946	-40.139	59.264
59	4.285	172.412	82.355	205.878	-40.833	52.436
60	4.285	172.412	82.355	205.878	-40.833	52.436
61	3.119	181.233	96.496	230.730	169.267	38.137
62	17.060	164.332	92.000	235.000	0.000	208.980
63	0.360	196.018	180.000	213.260	47.291	4.333
64	7.717	135.944	76.990	219.551	18.435	94.481
65	6.084	144.123	75.333	212.383	-72.579	74.435
66	8.143	138.142	67.000	223.232	18.034	99.672
67	5.338	131.997	92.864	199.000	-72.313	65.290
68	4.658	161.791	70.667	168.798	-70.942	57.002
69	4.658	161.791	70.667	168.798	-70.942	57.002
70	3.465	175.641	88.120	216.632	-30.566	42.379
71	17.046	151.551	0.000	255.000	0.000	208.735
72	0.273	148.924	70.000	176.240	-153.435	3.286
73	7.384	133.947	73.580	197.913	-4.041	90.347
74	6.304	136.827	76.605	193.918	-94.552	77.141
75	8.237	135.302	71.000	214.271	-3.203	100.811
76	5.464	132.275	76.004	182.333	-91.679	66.886
77	4.691	161.510	73.558	167.001	-92.691	57.369
78	4.691	161.510	73.558	167.001	-92.691	57.369
79	3.365	173.507	110.667	212.219	-57.633	41.172
80	17.060	153.812	68.000	209.333	0.000	208.980
81	0.307	179.630	80.000	218.667	180.000	3.673
