 	Area	Mean	Min	Max	Angle	Length
1	4.233	106.730	26.625	165.738	156.644	53.252
2	3.729	111.582	58.287	183.345	-111.873	46.866
3	4.497	109.907	31.842	167.933	-21.891	56.622
4	3.319	109.755	62.195	159.169	-111.194	41.710
5	2.475	135.637	99.321	164.803	-113.160	31.076
6	3.200	139.617	105.740	165.220	-112.515	40.207
7	1.354	145.081	89.274	175.016	-62.716	16.967
8	0.624	153.199	133.163	164.575	119.168	7.816
9	16.578	138.604	0.000	178.129	-36.857	208.792
10	4.667	128.200	75.611	172.154	118.573	58.741
11	3.842	133.218	93.029	178.574	30.609	48.320
12	4.793	128.246	81.766	171.707	-62.087	60.355
13	3.603	133.613	75.820	162.880	-149.036	45.351
14	3.049	155.429	131.231	174.333	-151.844	38.347
15	3.483	152.696	76.698	171.471	-151.207	43.831
16	1.379	163.940	150.346	176.997	-93.151	17.328
17	1.146	154.785	141.313	164.757	84.920	14.342
18	16.547	150.114	0.000	240.000	-53.222	208.380
19	4.837	138.194	76.789	190.448	-83.264	60.837
20	3.974	138.622	90.984	186.957	5.475	49.962
21	4.825	132.282	75.144	184.298	-82.494	60.732
22	3.364	134.026	82.435	190.950	4.193	42.333
23	2.816	154.566	110.932	173.739	2.702	35.384
24	3.275	153.899	108.175	174.517	3.094	41.224
25	1.361	148.378	90.014	171.345	-132.543	17.077
26	0.831	129.326	93.556	147.881	36.697	10.434
27	16.566	146.384	0.000	240.000	126.975	208.618
28	4.711	111.510	71.752	178.059	51.628	59.322
29	3.830	112.193	76.423	185.984	144.111	48.197
30	5.045	110.827	66.952	179.187	52.929	63.460
31	3.603	113.470	74.161	184.178	-37.030	45.333
32	3.036	162.922	118.984	183.480	-37.394	38.160
33	3.471	161.909	109.353	185.213	-36.578	43.683
34	1.361	162.592	131.696	178.435	-175.724	17.031
35	0.850	137.907	111.214	167.134	-4.268	10.664
36	16.559	153.981	0.000	182.460	-36.661	208.555
37	4.346	131.891	80.263	196.846	29.055	54.710
38	3.584	132.542	76.523	195.627	120.133	45.047
39	4.642	133.315	78.676	194.513	-150.024	58.408
40	3.149	124.570	85.627	174.032	117.796	39.620
41	2.286	168.971	148.628	188.543	-59.960	28.732
42	2.979	166.184	144.629	188.818	-60.827	37.474
43	1.468	177.508	147.276	213.604	34.648	18.405
44	1.216	192.545	167.556	208.815	-155.704	15.203
45	16.591	162.193	0.000	230.882	-37.810	208.947
46	4.453	123.726	71.660	202.104	-67.505	56.007
47	3.439	111.278	88.213	177.667	-154.093	43.233
48	4.623	123.465	65.088	190.905	-66.371	58.214
49	3.143	112.153	72.341	181.000	25.434	39.547
50	2.866	159.914	100.806	184.556	23.066	36.057
51	3.275	162.723	93.548	194.896	22.909	41.185
52	1.436	169.235	132.581	187.786	142.524	18.001
53	0.901	168.198	156.924	184.000	-35.256	11.274
54	16.553	155.632	0.000	192.405	-37.079	208.508
55	4.497	129.109	86.799	181.023	-82.097	56.569
56	3.458	126.225	68.354	187.099	8.189	43.459
57	4.869	125.572	84.350	187.511	98.487	61.306
58	3.187	119.159	82.770	184.271	8.194	40.092
59	2.897	146.451	63.260	181.134	8.765	36.457
60	3.307	138.093	73.119	177.433	8.563	41.574
61	1.335	151.989	122.185	172.544	41.543	16.754
62	1.058	144.114	129.642	168.000	-138.879	13.275
63	16.566	140.413	0.000	197.290	-36.151	208.666
64	1.827	245.308	0.000	255.000	-89.806	56.853
65	1.406	233.276	0.000	255.000	0.505	43.749
66	1.932	246.876	0.000	255.000	-89.633	60.130
67	1.363	240.178	0.000	255.000	0.521	42.400
68	1.165	236.746	0.000	255.000	0.000	36.231
69	1.350	234.792	0.000	255.000	0.000	42.013
70	0.579	250.417	0.018	255.000	-44.132	17.990
71	0.331	197.193	0.000	255.000	141.843	10.294
72	6.706	154.754	0.000	255.000	-32.986	208.732
