 	Area	Mean	Min	Max	Angle	Length
1	6.271	140.991	81.077	191.274	55.397	76.762
2	6.810	140.842	81.976	191.108	-30.483	83.358
3	6.564	141.052	76.974	198.063	54.598	80.320
4	5.938	142.096	81.667	203.935	-30.368	72.663
5	5.631	143.547	79.000	177.882	-31.919	68.861
6	4.725	140.097	63.918	178.611	-33.825	57.780
7	2.499	152.402	128.859	189.313	5.528	30.509
8	17.060	144.748	73.333	204.000	0.000	208.980
9	17.060	144.748	73.333	204.000	0.000	208.980
10	6.791	142.966	82.982	204.026	-46.193	83.139
11	6.850	141.613	88.808	202.049	45.237	83.815
12	7.050	144.388	81.000	194.015	-46.380	86.263
13	6.424	142.569	80.130	183.556	45.000	78.619
14	5.324	149.095	73.427	211.216	43.172	65.145
15	4.218	146.640	77.826	210.882	44.615	51.606
16	2.566	159.185	107.000	185.354	-92.237	31.371
17	17.026	145.478	0.000	227.333	0.000	208.490
18	17.026	145.478	0.000	227.333	0.000	208.490
19	5.898	158.371	79.000	236.395	27.695	72.189
20	5.851	150.757	79.286	237.171	-62.734	71.633
21	6.231	152.256	74.082	228.880	27.964	76.250
22	5.065	149.306	79.667	226.017	-61.408	61.919
23	5.298	166.517	77.667	198.375	-63.532	64.837
24	4.785	174.511	79.058	214.622	-62.040	58.502
25	2.406	163.422	91.000	222.628	-22.510	29.425
26	17.060	161.527	97.667	234.667	0.000	208.980
27	17.060	161.527	97.667	234.667	0.000	208.980
28	5.898	143.298	72.486	240.371	-67.440	72.132
29	6.031	144.770	69.333	204.658	23.673	73.802
30	6.344	145.478	77.652	237.725	-67.561	77.633
31	5.284	148.417	83.303	219.129	22.971	64.635
32	5.431	154.272	77.667	246.054	23.920	66.441
33	4.765	154.360	83.983	212.050	23.009	58.268
34	2.279	130.067	112.171	163.579	-114.986	27.829
35	17.060	162.320	84.000	231.333	0.000	208.980
36	17.060	162.320	84.000	231.333	0.000	208.980
37	4.991	132.963	72.134	191.866	-105.598	61.023
38	4.965	132.987	78.871	236.488	-18.581	60.716
39	5.471	135.131	70.847	218.413	-105.053	66.950
40	4.225	137.797	81.118	200.710	-16.803	51.676
41	4.305	139.845	70.167	184.789	-16.750	52.684
42	3.752	150.787	88.199	180.333	-14.853	45.859
43	1.906	145.196	108.667	167.375	-61.004	23.240
44	17.046	144.954	0.000	221.667	0.000	208.735
45	17.046	144.954	0.000	221.667	0.000	208.735
46	6.011	127.887	76.737	194.735	-169.251	73.535
47	5.938	135.607	83.394	206.113	-80.887	72.672
48	6.651	129.067	70.055	213.474	10.228	81.375
49	4.878	136.030	80.620	223.630	-81.272	59.712
50	5.138	144.938	67.171	207.459	-80.134	62.889
51	4.565	144.517	76.139	189.273	-80.662	55.842
52	2.446	148.246	109.580	173.333	-124.992	29.894
53	17.046	145.119	85.667	191.333	0.000	208.735
54	17.046	145.119	85.667	191.333	0.000	208.735
55	5.231	137.760	76.255	223.135	-10.364	63.983
56	5.598	132.392	74.612	196.961	-95.955	68.451
57	5.731	135.492	75.667	206.620	-8.640	70.102
58	4.878	130.180	76.387	222.739	-98.496	59.675
59	3.958	139.174	77.043	194.717	-102.560	48.424
60	3.192	134.370	76.636	178.477	-103.426	39.026
61	2.166	163.846	109.667	202.381	-55.574	26.424
62	17.026	145.653	0.000	226.667	0.000	208.490
63	17.026	145.653	0.000	226.667	0.000	208.490
64	4.831	134.520	76.884	212.064	-7.861	59.086
65	5.031	135.151	74.652	200.104	-97.549	61.513
66	5.351	133.198	76.269	215.190	-7.524	65.462
67	4.338	133.619	79.160	198.341	-97.158	53.067
68	4.278	136.816	76.577	200.378	-98.889	52.302
69	3.758	149.774	79.944	182.152	-99.513	45.938
70	1.919	163.048	124.772	182.017	-49.658	23.455
71	17.046	146.529	0.000	200.000	0.000	208.735
72	17.046	146.529	0.000	200.000	0.000	208.735
73	6.477	119.377	63.981	166.906	-22.525	79.272
74	6.171	116.767	73.296	159.326	-110.904	75.500
75	6.944	120.052	69.340	166.198	-21.832	84.950
76	5.324	113.724	77.102	156.423	-109.321	65.138
77	5.844	126.129	73.310	172.625	-110.854	71.544
78	5.158	126.624	78.539	161.649	-109.983	63.062
79	2.492	142.810	105.823	167.515	-73.168	30.447
80	17.046	124.660	0.000	166.000	0.000	208.735
81	17.046	124.660	0.000	166.000	0.000	208.735
