 	Area	Mean	Min	Max	Angle	Length
1	9.123	189.319	128.214	245.047	-18.276	111.674
2	7.464	185.175	129.841	247.929	-107.949	91.387
3	8.643	187.601	132.652	236.621	161.230	105.790
4	7.210	185.560	130.847	250.334	-107.781	88.214
5	4.252	199.802	171.815	226.133	-108.691	51.965
6	5.451	192.509	144.259	221.921	-109.300	66.686
7	2.772	209.107	143.643	254.122	-48.814	33.843
8	0.613	163.533	145.010	181.667	138.991	7.464
9	17.046	199.786	0.000	251.333	0.000	208.735
10	9.476	171.756	111.262	242.004	72.177	116.017
11	7.657	164.923	86.510	246.721	-17.961	93.710
12	9.116	168.916	107.895	238.680	72.638	111.616
13	7.197	161.619	107.090	252.108	-17.478	88.066
14	4.625	187.970	151.017	213.476	-17.650	56.539
15	5.531	171.781	122.667	214.455	-16.401	67.651
16	2.492	167.935	119.680	201.103	117.801	30.454
17	0.586	141.894	128.067	163.667	-75.964	7.068
18	17.060	187.609	127.667	221.000	0.000	208.980
19	8.936	136.231	71.236	182.266	22.373	109.376
20	7.197	137.100	89.082	179.430	-69.500	88.111
21	8.970	135.867	68.679	186.096	22.561	109.790
22	6.791	134.470	84.490	173.116	-69.108	83.096
23	3.778	144.474	125.731	176.659	-68.875	46.207
24	5.311	142.754	117.189	168.518	-68.078	64.940
25	2.852	146.308	111.670	175.163	62.354	34.834
26	0.560	134.578	125.241	144.333	-115.641	6.791
27	17.060	139.140	76.000	191.333	0.000	208.980
28	8.990	115.409	68.086	155.658	-33.195	110.039
29	7.444	103.607	62.770	140.692	58.746	91.098
30	8.930	113.215	71.600	150.102	-31.162	109.326
31	7.044	101.522	59.542	149.303	-122.471	86.213
32	3.612	132.732	110.320	144.608	-122.544	44.158
33	5.278	131.286	108.540	143.231	-123.088	64.598
34	2.506	129.508	86.955	154.267	178.167	30.628
35	0.533	111.771	97.231	123.333	-17.745	6.428
36	17.046	122.489	0.000	159.333	0.000	208.735
37	15.626	116.400	48.429	177.453	-1.637	101.877
38	12.862	112.707	55.245	170.941	-91.463	83.908
39	15.087	114.001	58.671	176.111	179.644	98.369
40	12.276	112.411	54.442	168.898	89.890	80.000
41	7.356	147.460	119.290	171.176	-93.851	47.867
42	9.699	142.159	88.192	166.274	-91.248	63.281
43	5.084	163.510	123.333	193.032	157.011	33.015
44	1.523	153.900	131.333	170.167	-20.136	9.747
45	31.932	135.764	61.667	178.000	0.000	208.469
