 	Area	Mean	Min	Max	Angle	Length
1	3.772	158.790	76.342	229.807	61.939	46.113
2	3.419	151.323	82.225	201.774	-28.619	41.792
3	3.965	158.874	81.089	229.703	62.183	48.493
4	2.959	159.869	76.434	201.597	-29.231	36.156
5	2.845	148.249	78.168	189.414	-28.793	34.782
6	3.405	148.186	76.829	198.160	-29.327	41.664
7	1.299	195.830	160.000	231.559	42.709	15.867
8	0.287	193.534	182.480	202.064	-139.844	3.400
9	17.060	179.827	0.000	224.667	0.000	208.898
10	3.878	150.288	78.417	233.157	-63.435	47.459
11	3.405	147.561	78.134	224.467	25.560	41.625
12	4.252	151.214	79.667	230.984	-62.711	51.990
13	2.919	147.171	77.420	209.996	25.508	35.637
14	2.752	184.923	79.500	238.982	25.571	33.665
15	3.432	167.540	73.528	222.406	26.067	41.985
16	1.333	180.388	134.692	198.748	153.178	16.282
17	0.313	175.179	172.174	179.285	-23.199	3.730
18	17.060	171.029	74.667	228.333	0.000	208.980
19	4.118	149.359	71.435	219.724	-10.363	50.341
20	3.345	153.849	83.741	247.651	-100.008	40.889
21	4.285	149.868	78.497	217.711	-10.313	52.434
22	2.686	146.062	75.277	226.850	-100.165	32.837
23	2.699	183.885	81.100	220.940	81.469	33.018
24	3.312	177.094	81.438	204.570	-99.045	40.458
25	1.326	214.285	177.552	243.857	-35.942	16.133
26	0.307	183.939	173.667	189.471	140.356	3.707
27	17.046	166.972	0.000	226.667	0.000	208.735
28	3.852	161.949	75.232	239.995	23.146	47.106
29	3.499	160.933	80.186	252.418	-63.239	42.787
30	4.158	162.355	78.998	240.602	22.160	50.874
31	3.025	165.176	81.313	250.135	-67.117	36.974
32	2.799	171.041	82.751	205.493	-69.924	34.193
33	3.345	169.234	80.204	213.066	-69.069	40.893
34	1.293	167.128	115.965	198.924	-129.540	15.776
35	0.333	154.747	120.074	180.857	53.366	3.962
36	17.046	183.572	0.000	207.667	0.000	208.735
37	3.705	176.066	77.536	248.717	51.727	45.336
38	3.592	163.573	74.889	237.359	-37.595	43.932
39	4.205	178.241	74.035	247.947	51.383	51.420
40	3.072	175.624	84.596	239.492	-36.696	37.573
41	2.912	204.828	79.093	232.451	-37.264	35.571
42	3.479	190.708	75.152	238.786	-37.972	42.500
43	1.353	175.317	132.897	221.738	-99.696	16.463
44	0.313	173.053	143.667	188.731	81.158	3.740
45	17.046	192.652	0.000	245.333	0.000	208.735
